number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
0,1285.1497831785464,0.5551996318217696,True,True,False,False,False,False,False,False,False,False,none,1.0,0.019922486610378386,16,57,0.1247778708071634,756,133,large,0.0001131972012198978,0.36080411214815694,distance_capacity,0.7530974761071685,6,False,COMPLETE
1,1120.164232897587,0.9891569558739997,True,False,True,False,True,False,False,True,True,False,none,,0.05329776719521835,3,95,0.014217391572402704,963,89,large,5.127441431983898e-05,2.9579980466052005e-05,None,0.8992414700672076,2,True,COMPLETE
2,2127.9487964382165,0.9610507050607472,True,True,True,False,False,False,True,True,True,False,none,1.0,0.12798944131865714,6,88,0.04778254563412815,396,137,large,0.028936918120897406,0.010780891833855898,None,0.9704737307879959,0,False,COMPLETE
3,1897.5568890021116,0.6130660403618013,False,False,True,False,False,True,False,True,False,True,none,6.0,0.017815093743143995,7,38,0.48484350057156794,1000,133,large,6.568082509362568e-07,3.1849176895980696e-07,idw,0.642653458117756,2,False,COMPLETE
4,1640.5634036720828,0.6745993748748781,True,True,False,True,True,True,True,False,True,False,none,1.0,0.017356397003092727,14,21,0.4748692975015155,651,26,none,0.002192042770398594,0.348718133738746,capacity,0.6440592641505668,0,False,COMPLETE
5,2089.178209612745,0.7665812692484407,True,True,False,True,False,True,True,True,False,False,none,6.0,0.03191551062512974,14,70,0.45023285069527696,717,70,none,5.657100542283424e-08,8.221766613610497e-08,None,0.5445572367253773,0,True,COMPLETE
6,2202.454991806411,0.8758952803099946,True,True,False,False,False,False,False,True,True,False,small,12.0,0.04513673324186251,14,80,0.4037507365646223,998,124,small,1.213905045528772e-05,0.5814103054499895,None,0.7635507738786755,2,True,COMPLETE
7,1832.550951914127,0.73160624000781,True,True,False,False,True,True,True,False,True,True,large,12.0,0.06830171219939467,3,23,0.03507426379520834,537,97,none,0.011365957027995742,0.001624685895500108,None,0.9666268875079518,2,True,COMPLETE
8,1672.0498801445865,0.7191286308727272,True,True,True,True,False,True,False,True,True,False,none,1.0,0.016605855082045706,9,15,0.2928234272925911,679,11,none,3.003683163877635e-08,0.0017471228477277197,distance_n_turbines,0.8573448690052996,6,True,COMPLETE
9,1309.6120310243703,0.8205690256488296,False,False,False,False,False,True,False,True,True,True,none,,0.06350039799852965,15,72,0.49974000050756573,577,20,none,1.1129467450415815e-05,1.176162371117311e-05,idw,0.7638146410160493,0,False,COMPLETE
10,1099.605758971974,0.9588990399145839,False,False,True,True,True,False,False,False,False,True,small,,0.2776864540945627,3,99,0.1729945534314294,860,66,small,0.7024058733860158,7.947009428950857e-06,mean,0.8802578898958444,2,True,COMPLETE
11,1092.4902372525146,0.9744217017018671,False,False,True,True,True,False,False,False,False,True,small,,0.18057609374051325,3,99,0.16556877544249782,873,62,small,0.0006344294603432687,1.5080661755376713e-05,mean,0.879533010326899,2,True,COMPLETE
12,1121.8463312733506,0.9060530218441474,False,False,True,True,True,False,False,False,False,True,small,,0.28528502100668585,5,100,0.19689372869419142,831,55,small,0.7650788954587784,3.066959182406209e-06,mean,0.8650578817838904,2,True,COMPLETE
13,1140.706538026437,0.9034310235522828,False,False,True,True,True,False,False,False,False,True,small,,0.2718579122518483,10,48,0.24723434252114945,850,47,small,0.9361023983885018,1.1199197874053849e-08,mean,0.8334796293893073,2,True,COMPLETE
14,1138.4826865178804,0.9972858262410793,False,False,True,True,True,False,False,False,False,True,small,,0.12842881137496912,4,83,0.14373277559910583,812,107,small,0.0008998616304747774,0.0002452379559670591,max,0.9148703180552451,2,True,COMPLETE
15,1159.14239782659,0.8282392151051361,False,False,True,True,True,False,False,False,False,True,small,,0.1677667628449685,8,64,0.3083491057117229,921,68,small,0.063090393732897,1.4572184107584122e-06,mean,0.8114157354701239,2,True,COMPLETE
16,1157.7132876936248,0.9283643084750655,False,False,True,True,True,False,False,False,False,True,large,,0.18252120848480397,11,99,0.10722654515282323,888,42,small,0.0011667893495764753,3.2090154774065633e-05,mean,0.9962378844026619,6,True,COMPLETE
17,1111.4862628231906,0.8374662646898362,False,False,True,True,True,False,False,False,False,True,small,,0.08969710494535652,5,86,0.2156872142532734,781,78,small,0.1124386101628781,0.00012203537445370217,mean,0.6996884687067672,2,True,COMPLETE
