Parameter,Value
compute_air_density,False
compute_wind_power_density,True
encode_wind_direction,False
compute_wind_shear,False
compute_wind_ramp,False
compute_air_density_moiust_air_correction,False
dew_point_temperature,False
vapor_pressure,False
gust_factor,False
turbulence_window,6
lags_choice,small
precip_lags_choice,large
drop_raw_main_features,False
drop_raw_wind_features,False
spatial_agg_method,idw
lags_target,
n_estimators,520
learning_rate,0.037085077944441075
num_leaves,15
max_depth,13
min_child_samples,18
subsample,0.7941665532073104
colsample_bytree,0.8057783917741566
reg_alpha,1.1038707924302646e-06
reg_lambda,4.696747698288309e-08
min_split_gain,0.05792409007285669
