Parameter,Value
compute_air_density,False
compute_wind_power_density,False
encode_wind_direction,True
compute_wind_shear,True
compute_wind_ramp,False
compute_air_density_moiust_air_correction,False
dew_point_temperature,True
vapor_pressure,True
gust_factor,True
turbulence_window,6
lags_choice,large
precip_lags_choice,small
drop_raw_main_features,False
drop_raw_wind_features,False
spatial_agg_method,None
n_estimators,754
learning_rate,0.01704054587423729
num_leaves,27
max_depth,16
min_child_samples,82
subsample,0.5570937683353819
colsample_bytree,0.9133843380317397
reg_alpha,0.00010265419759583508
reg_lambda,7.023138650571316e-07
min_split_gain,0.13775172719663115
use_base_models_pred_intervals,False
cv_folds_base,40
