number,value,params_alpha,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_l1_ratio,params_lags_choice,params_lags_target,params_precip_lags_choice,params_spatial_agg_method,params_turbulence_window,params_vapor_pressure,state
0,2240.1626877008307,0.3144274248200494,False,True,False,False,False,False,True,False,False,True,0.10286020873260172,small,1.0,large,idw,6,True,COMPLETE
1,1465.995803582926,0.38311579943654883,False,False,False,False,True,False,True,False,True,False,0.03088452211226375,large,,large,distance_n_turbines,2,True,COMPLETE
2,1920.5799639329068,0.7335019393987678,True,False,False,False,False,False,False,True,True,False,0.9462321812424425,none,1.0,none,None,0,True,COMPLETE
3,2011.346520348585,0.1364921460261398,False,True,True,False,True,True,True,False,False,False,0.9323349675992901,small,6.0,small,mean,0,True,COMPLETE
4,2032.6262526748294,0.24477563427530757,False,False,False,False,False,True,False,True,True,True,0.11664414055999091,large,1.0,none,None,0,True,COMPLETE
5,1943.126439113501,0.1070503400766012,False,True,True,True,False,True,True,False,True,True,0.03253273239758203,large,12.0,small,None,0,False,COMPLETE
6,1391.787893490501,0.9316239474753466,True,True,True,True,False,False,True,False,False,True,0.5705516669898396,large,,large,mean,2,False,COMPLETE
7,1951.489906403467,0.687752334030518,True,False,True,False,True,True,True,False,True,True,0.7468907312011808,small,12.0,large,idw,2,True,COMPLETE
8,1377.4283878444048,0.2918613390921755,False,True,False,False,False,True,True,False,False,True,0.04090093043388634,large,,none,capacity,6,True,COMPLETE
9,1903.372498835132,0.7899457978399829,True,False,True,False,True,True,True,True,False,True,0.64320392105935,small,12.0,none,None,6,False,COMPLETE
10,1379.8033141185053,0.549766316855551,False,True,False,True,False,True,False,True,False,False,0.3302440890615266,none,,none,capacity,6,False,COMPLETE
11,1379.8033141185053,0.52645335060347,False,True,False,True,False,True,False,True,False,False,0.33609123543663477,none,,none,capacity,6,False,COMPLETE
12,1379.8033141185053,0.5246408433588755,False,True,False,True,False,True,False,True,False,False,0.3124587070780762,none,,none,capacity,6,False,COMPLETE
13,1393.4279379753527,0.4409758013391423,False,True,False,True,False,True,False,True,False,False,0.3037671369558159,none,,none,max,6,False,COMPLETE
14,1950.3227283674778,0.6297897706769888,False,True,False,True,False,True,False,False,False,True,0.4151349927985959,large,6.0,none,capacity,6,True,COMPLETE
15,1364.0947856294822,0.261941506022615,False,True,False,True,False,True,False,True,False,False,0.1921093436922333,none,,none,distance_capacity,6,False,COMPLETE
16,1355.1312258626137,0.02743310809541316,False,True,False,True,False,True,True,False,False,False,0.1775337228274239,none,,small,distance_capacity,6,False,COMPLETE
17,1355.1312258626137,0.015574662104971434,False,True,False,True,False,True,False,True,False,False,0.20404535665256038,none,,small,distance_capacity,6,False,COMPLETE
18,1954.2985745572678,0.01194534435978825,True,True,False,True,True,False,False,True,False,False,0.21229008924177373,none,6.0,small,distance_capacity,6,False,COMPLETE
19,1360.0555149081424,0.010981976029639514,False,True,False,True,False,True,True,False,False,False,0.49026742975015813,none,,small,distance_capacity,2,False,COMPLETE
20,1368.4689860427009,0.10997462534683791,False,True,False,True,False,True,False,False,False,False,0.23420046513696097,none,,small,distance_capacity,6,False,COMPLETE
21,1360.0555149081424,0.01025081836345293,False,True,False,True,False,True,True,False,False,False,0.466988863031941,none,,small,distance_capacity,2,False,COMPLETE
22,1360.0555149081424,0.18477013368848763,False,True,False,True,False,True,True,False,False,False,0.5513658597730955,none,,small,distance_capacity,2,False,COMPLETE
23,1360.0555149081424,0.05959557393975991,False,True,False,True,False,True,True,False,False,False,0.41672894123181503,none,,small,distance_capacity,2,False,COMPLETE
24,1360.0555149081424,0.1756667218335958,False,True,False,True,False,True,True,False,False,False,0.7460936356048831,none,,small,distance_capacity,2,False,COMPLETE
25,1397.3664745979984,0.07438341635570629,False,True,False,True,False,True,True,False,False,False,0.1536796736597038,none,,small,max,2,False,COMPLETE
26,2095.983466702143,0.21825706828601849,True,False,True,True,True,False,True,True,True,False,0.25622808928941854,none,6.0,small,distance_n_turbines,6,False,COMPLETE
27,1949.6735859850917,0.3598227691932282,False,True,False,True,False,True,True,False,False,False,0.7405962915000274,none,1.0,small,distance_capacity,0,False,COMPLETE
28,1972.3599467602642,0.030364664482924332,False,True,False,True,False,True,False,True,False,False,0.4065368697687109,none,12.0,small,distance_capacity,2,False,COMPLETE
29,2275.266883555807,0.1494795693223949,False,True,False,True,False,False,True,False,False,False,0.11155307595682962,small,1.0,small,idw,6,False,COMPLETE
30,1355.12008667795,0.3337223757673436,False,True,False,True,False,True,True,False,False,False,0.6530679999319273,none,,large,distance_capacity,6,False,COMPLETE
31,1355.12008667795,0.10259819144519206,False,True,False,True,False,True,True,False,False,False,0.6382495610903728,none,,large,distance_capacity,6,False,COMPLETE
32,1355.12008667795,0.36902572218916385,False,True,False,True,False,True,True,False,False,False,0.6365301145341037,none,,large,distance_capacity,6,False,COMPLETE
33,1355.5482646411176,0.4207349167954672,False,True,False,True,False,True,True,False,False,False,0.6768878221511374,none,,large,distance_n_turbines,6,False,COMPLETE
34,1454.3443249720992,0.3376628287088026,False,False,False,True,True,False,True,False,True,False,0.8580894973594719,none,,large,distance_capacity,6,False,COMPLETE
35,1382.1505644889282,0.45590943495242264,False,True,False,False,False,True,True,False,False,False,0.6362367633878155,small,,large,mean,6,True,COMPLETE
36,2001.9483368484155,0.2819165335586581,False,False,False,True,False,True,True,False,True,False,0.8570442034276811,none,1.0,large,distance_capacity,6,False,COMPLETE
37,1424.8663760665813,0.2125029839635433,True,True,True,True,False,False,True,False,False,False,0.5750081785748717,none,,large,max,0,False,COMPLETE
38,1983.3915107147568,0.5900289287548914,False,True,False,False,True,True,True,False,True,False,0.6956166793021198,large,6.0,large,idw,6,True,COMPLETE
39,2074.890186514317,0.3637688745048695,False,False,True,True,False,True,True,False,False,True,0.798692245807899,small,12.0,large,mean,6,False,COMPLETE
40,1298.2815202251768,0.126261626957061,True,True,False,False,False,True,True,False,False,False,0.5994747788077123,none,,large,None,0,True,COMPLETE
41,1298.2815202251768,0.10732771212228749,True,True,False,False,False,True,True,False,False,False,0.5792674229474336,none,,large,None,0,True,COMPLETE
42,1298.2815202251768,0.11967399722610012,True,True,False,False,False,True,True,False,False,False,0.6050078410244198,none,,large,None,0,True,COMPLETE
43,1298.2815202251768,0.11337582054236577,True,True,False,False,False,True,True,False,False,False,0.542960552216245,none,,large,None,0,True,COMPLETE
44,1289.7005589136882,0.15467624043701417,True,True,False,False,False,True,True,False,False,True,0.5381218315938557,large,,large,None,0,True,COMPLETE
45,1289.7005589136882,0.13100497585894472,True,True,True,False,False,True,True,False,False,True,0.5454607977486299,large,,large,None,0,True,COMPLETE
46,1801.0000812967016,0.15571504842392295,True,True,True,False,True,True,True,False,True,True,0.5776489559909969,large,12.0,large,None,0,True,COMPLETE
47,2233.9013692843687,0.9763931926864637,True,True,True,False,False,True,True,False,False,True,0.5154206267764753,large,1.0,large,None,0,True,COMPLETE
48,1245.1602709608098,0.23279982775931962,True,False,True,False,False,True,True,False,False,True,0.45295742517643267,large,,large,None,0,True,COMPLETE
49,1268.0705675590607,0.24830480423239532,True,False,True,False,False,False,True,False,False,True,0.37201583249911296,large,,large,None,0,True,COMPLETE
50,1268.0705675590607,0.2389929453599594,True,False,True,False,False,False,True,False,False,True,0.37794324131667634,large,,large,None,0,True,COMPLETE
51,1268.0705675590607,0.22136871648609452,True,False,True,False,False,False,True,False,False,True,0.3807413476746193,large,,large,None,0,True,COMPLETE
52,1268.0705675590607,0.23617985623331844,True,False,True,False,False,False,True,False,False,True,0.3673414944357634,large,,large,None,0,True,COMPLETE
53,1268.0705675590607,0.23809991964378638,True,False,True,False,False,False,True,False,False,True,0.3704889726674866,large,,large,None,0,True,COMPLETE
54,1268.0705675590607,0.23579334271523403,True,False,True,False,False,False,True,False,False,True,0.3662505302723919,large,,large,None,0,True,COMPLETE
55,1268.0705675590607,0.29729621155488656,True,False,True,False,False,False,True,False,False,True,0.4540992750448119,large,,large,None,0,True,COMPLETE
56,1268.0705675590607,0.2544955366635124,True,False,True,False,False,False,True,False,False,True,0.2753350093956918,large,,large,None,0,True,COMPLETE
57,1823.2458907003777,0.8263024322298306,True,False,True,False,False,False,True,False,False,True,0.3670611566376725,large,6.0,large,None,0,True,COMPLETE
58,1269.7635628873754,0.1962066285794241,True,False,True,False,True,False,True,False,False,True,0.34266410033433153,large,,large,None,0,True,COMPLETE
59,1268.0705675590607,0.40413403940730147,True,False,True,False,False,False,True,False,False,True,0.44040165605273973,large,,large,None,0,True,COMPLETE
60,1820.8712564594498,0.4767814766323487,True,False,True,False,False,False,True,False,True,True,0.3862228213924839,large,12.0,large,None,0,True,COMPLETE
61,1268.0705675590607,0.23778799831261027,True,False,True,False,False,False,True,False,False,True,0.29901334538094315,large,,large,None,0,True,COMPLETE
62,1268.0705675590607,0.24439153622099974,True,False,True,False,False,False,True,False,False,True,0.3613132248047182,large,,large,None,0,True,COMPLETE
63,1268.0705675590607,0.2725224281309566,True,False,True,False,False,False,True,False,False,True,0.474654752912664,large,,large,None,0,True,COMPLETE
64,1287.174123276735,0.3150170797529708,True,False,True,False,False,False,True,False,False,True,0.4211697588199501,large,,none,None,0,True,COMPLETE
65,1400.8495710449304,0.22207234809414772,True,False,True,False,False,False,False,True,False,True,0.387483632188948,large,,large,capacity,0,True,COMPLETE
66,1377.7863537706387,0.17677953267073046,True,False,True,False,False,False,True,False,False,True,0.31744906693917074,large,,large,distance_n_turbines,0,True,COMPLETE
67,1268.0705675590607,0.3060826701076559,True,False,True,False,False,False,True,False,False,True,0.2760607418625102,large,,large,None,0,True,COMPLETE
68,1824.886895716177,0.27083877339604767,True,False,True,False,False,False,True,False,False,True,0.4939031357541484,large,6.0,none,None,0,True,COMPLETE
69,2231.5361915431545,0.1966424464437543,True,False,True,False,False,False,False,True,False,True,0.34432371539734297,large,1.0,large,idw,0,True,COMPLETE
