number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_use_base_models_pred_intervals,params_vapor_pressure,state
0,1244.4113771893199,0.8966424528463819,True,False,True,False,False,True,False,True,False,False,none,0.2895580769114617,6,29,0.030553864990685742,435,98,small,7.32868320783095e-07,6.130106665266528e-05,idw,0.7146058926011786,2,True,False,COMPLETE
1,1260.1577370691978,0.9036204517447233,True,False,False,False,True,True,True,False,True,True,none,0.2064821625306772,16,94,0.40574859673093594,330,126,none,3.074699349047587e-05,0.010501603482885095,capacity,0.84687967559162,2,True,False,COMPLETE
2,1295.1431307967584,0.6779320311699853,True,False,False,True,False,False,True,False,False,False,small,0.07387592156321418,10,37,0.023604085684138687,919,75,large,1.0177753255215307e-05,9.480285727282357e-06,mean,0.5098042254070023,2,False,False,COMPLETE
3,1306.965318109996,0.7559125406792337,False,True,True,True,True,False,False,True,False,True,large,0.010297096914892697,11,14,0.3026667688221681,455,119,small,8.084199134443522e-05,0.002381390022147751,distance_n_turbines,0.6115349751367883,0,False,True,COMPLETE
4,1296.4485498048368,0.9875609028660702,False,True,True,True,True,False,False,False,True,False,large,0.03479641755663657,16,85,0.020752698611106624,318,102,none,0.5970264497197799,0.06532479532951972,distance_n_turbines,0.8875465432841876,6,True,True,COMPLETE
5,1276.7373864680233,0.9164361868907464,False,True,False,True,True,False,False,False,False,False,none,0.16534625561071792,7,97,0.10434684970653768,989,68,none,0.6590486775885579,0.2105663493570343,max,0.8759379734022716,6,True,False,COMPLETE
6,1275.6955231905913,0.5927664936164609,True,True,True,True,True,True,True,False,False,True,large,0.02615467189192576,16,90,0.19763448404533612,683,119,small,0.03306363202482957,1.479340169782428e-07,distance_n_turbines,0.6941156161798367,2,True,False,COMPLETE
7,1304.6546997128082,0.9072517178151595,False,True,True,True,True,False,True,False,False,False,small,0.13244118275391753,15,75,0.28304738163371396,530,59,large,0.7796612722006532,0.09933391159025115,distance_capacity,0.9749932925724873,0,False,False,COMPLETE
8,1319.8098948662725,0.9200786156790022,False,False,False,False,False,False,True,False,False,False,small,0.12963714196943182,16,82,0.32743053271773587,657,73,none,0.003920369031393819,4.26759461510779e-08,distance_n_turbines,0.8695385078810152,0,False,False,COMPLETE
9,1221.8888238267893,0.5103450282042912,False,True,False,False,True,True,True,True,True,False,large,0.010890145363054235,15,42,0.09343395881360034,646,10,small,0.016208154577006396,2.1709317429025615e-05,distance_n_turbines,0.9640601902945098,6,False,False,COMPLETE
10,1256.5643066620576,0.5345888676592182,False,True,False,False,False,True,True,True,True,True,large,0.010397645487660156,3,60,0.17507895587273126,804,33,small,1.012938394480965e-08,2.336267395053871e-06,None,0.94662401782845,6,False,True,COMPLETE
11,1230.682671466896,0.7625413554213389,True,False,True,False,False,True,False,True,True,False,none,0.28491440362363035,6,32,0.0939274286923977,534,13,small,3.7381905312588593e-07,0.00018349525030544262,idw,0.7575728114530571,2,True,False,COMPLETE
12,1189.0158831164224,0.7702527482909106,True,False,True,False,False,True,False,True,True,False,none,0.02085913579737908,12,47,0.11223378602349227,566,10,small,0.00212524309568035,0.000695093342813091,idw,0.7768344732945633,6,False,False,COMPLETE
13,1236.8983475868833,0.6774048420663022,True,False,False,False,False,True,False,True,True,False,large,0.01839207756361219,13,52,0.14053920668368225,760,13,small,0.007948152568533028,0.0004759378517540981,idw,0.7746427324190873,6,False,False,COMPLETE
14,1248.1973999702266,0.8089186212802113,True,True,True,False,True,True,False,True,True,False,none,0.01713100110843733,13,56,0.22239515647452063,571,42,small,0.0006046290050692122,3.35669241772731e-06,capacity,0.64568475430395,6,False,True,COMPLETE
15,1189.501301433836,0.5056182115252741,False,False,False,False,False,True,True,True,True,False,none,0.06523389400852446,13,43,0.09408899286844047,768,33,small,0.04771684738158722,1.8072855281244427e-05,distance_capacity,0.9957862171226703,6,False,False,COMPLETE
16,1223.980736499235,0.642366933930808,False,False,False,False,False,True,False,True,True,False,none,0.05755015980961389,12,17,0.41296409341300555,824,39,large,0.0008245045307826346,0.0018478171143918739,distance_capacity,0.7946284261169595,6,False,False,COMPLETE
17,1209.8649496015335,0.8280466347045239,True,False,True,False,False,True,True,True,True,False,none,0.08649427793872945,9,66,0.15708235796189104,732,29,small,0.06919546976742884,2.734477616499203e-07,distance_capacity,0.5152170538013353,6,False,False,COMPLETE
18,1228.374402630131,0.5938239378695849,True,False,False,False,False,True,False,True,True,True,none,0.04259366399588213,13,44,0.07536019565220034,864,144,small,0.0005810999226856916,1.1198697869666816e-06,None,0.5917451255859129,6,False,True,COMPLETE
19,1238.0211580856164,0.7123439579734069,False,False,True,False,False,True,True,True,True,False,none,0.02288704633102211,9,27,0.2449830299161485,430,53,large,0.10980174571637524,1.1675258929564286e-08,mean,0.9997201587897406,6,False,False,COMPLETE
