Parameter,Value
compute_air_density,True
compute_wind_power_density,True
encode_wind_direction,True
compute_wind_shear,False
compute_wind_ramp,False
compute_air_density_moiust_air_correction,False
dew_point_temperature,True
vapor_pressure,False
gust_factor,False
turbulence_window,6
lags_choice,none
precip_lags_choice,none
drop_raw_main_features,False
drop_raw_wind_features,True
spatial_agg_method,idw
n_estimators,420
learning_rate,0.09646599517296561
num_leaves,35
max_depth,3
min_child_samples,55
subsample,0.7552761056528927
colsample_bytree,0.8762300578241632
reg_alpha,3.332582344523728e-06
reg_lambda,5.594212408203347e-05
min_split_gain,0.05442059052423108
use_base_models_pred_intervals,False
cv_folds_base,40
