date,wind_onshore_ampr_actual,wind_onshore_ampr_fitted,wind_onshore_ampr_lower,wind_onshore_ampr_upper
2026-08-24 00:00:00+00:00,,2235.769739396784,1086.499394747897,3385.0400840456714
2026-08-24 01:00:00+00:00,,1449.7068265494609,300.43648190057365,2598.977171198348
2026-08-24 02:00:00+00:00,,830.8502245527072,-318.42012009617974,1980.1205692015947
2026-08-24 03:00:00+00:00,,930.7636518324796,-218.50669281640785,2080.033996481367
2026-08-24 04:00:00+00:00,,622.5342637017843,-526.7360809471029,1771.8046083506715
2026-08-24 05:00:00+00:00,,497.10259568089964,-652.1677489679873,1646.372940329787
2026-08-24 06:00:00+00:00,,616.0237279180585,-533.2466167308285,1765.294072566946
2026-08-24 07:00:00+00:00,,511.1280996579337,-638.1422449909537,1660.398444306821
2026-08-24 08:00:00+00:00,,519.9311571285639,-629.3391875203233,1669.201501777451
2026-08-24 09:00:00+00:00,,795.8455213861707,-353.4248232627165,1945.115866035058
2026-08-24 10:00:00+00:00,,878.971408431262,-270.29893621762494,2028.2417530801492
2026-08-24 11:00:00+00:00,,823.5464141362986,-325.72393051258814,1972.8167587851858
2026-08-24 12:00:00+00:00,,713.9733870027592,-435.29695764612825,1863.2437316516462
2026-08-24 13:00:00+00:00,,1036.282309850366,-112.98803479852131,2185.552654499253
2026-08-24 14:00:00+00:00,,940.7467084841692,-208.52363616471848,2090.0170531330564
2026-08-24 15:00:00+00:00,,1276.8738477661075,127.60350311722004,2426.1441924149944
2026-08-24 16:00:00+00:00,,1515.754770490937,366.48442584204986,2665.0251151398243
2026-08-24 17:00:00+00:00,,1794.6831971717538,645.4128525228664,2943.953541820641
2026-08-24 18:00:00+00:00,,1874.5105516260273,725.2402069771399,3023.7808962749145
2026-08-24 19:00:00+00:00,,3001.47714566991,1852.206801021023,4150.747490318798
2026-08-24 20:00:00+00:00,,4416.01901985256,3266.748675203672,5565.2893645014465
2026-08-24 21:00:00+00:00,,5470.710844204657,4321.440499555771,6619.981188853544
2026-08-24 22:00:00+00:00,,5397.802820671008,4248.53247602212,6547.0731653198945
2026-08-24 23:00:00+00:00,,6133.431807615407,4984.16146296652,7282.7021522642935
2026-08-25 00:00:00+00:00,,5696.158318347552,4546.8879736986655,6845.428662996441
2026-08-25 01:00:00+00:00,,5733.7886390715485,4584.518294422661,6883.058983720435
2026-08-25 02:00:00+00:00,,6239.284479254644,5090.014134605757,7388.554823903531
2026-08-25 03:00:00+00:00,,6302.377186092064,5153.1068414431775,7451.647530740951
2026-08-25 04:00:00+00:00,,6407.148946564132,5257.878601915245,7556.41929121302
2026-08-25 05:00:00+00:00,,6970.347118870806,5821.07677422192,8119.617463519693
2026-08-25 06:00:00+00:00,,5764.698651188703,4615.428306539816,6913.968995837589
2026-08-25 07:00:00+00:00,,4640.29607053265,3491.0257258837632,5789.566415181538
2026-08-25 08:00:00+00:00,,3997.628989216817,2848.3586445679293,5146.899333865704
2026-08-25 09:00:00+00:00,,3701.5644762471657,2552.2941315982785,4850.834820896052
2026-08-25 10:00:00+00:00,,3791.825780056729,2642.5554354078417,4941.096124705617
2026-08-25 11:00:00+00:00,,3556.567844461628,2407.2974998127406,4705.838189110515
2026-08-25 12:00:00+00:00,,3553.306782830673,2404.036438181786,4702.577127479561
