number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,state
0,5093.02392578125,medium,0.9328234252739445,True,True,True,False,False,False,False,False,True,True,True,True,False,False,True,False,True,1.0,0.05490111563014325,10,6,617,small,0.00010587444039294898,9.526451686688653e-05,short,max,0.6652586813057999,small,COMPLETE
1,6118.59765625,medium,0.6891036611158933,True,True,False,False,False,True,False,False,False,False,True,True,False,True,True,True,False,1.0,0.16945631643689946,7,2,889,none,7.492649580806206e-07,4.5159172202755825e-05,short,max,0.7363497580896362,none,COMPLETE
2,5396.533203125,medium,0.5891274597537015,True,True,True,False,True,False,True,False,True,True,False,True,False,True,False,True,True,12.0,0.015739975029666772,3,3,313,small,0.4659094740315755,0.00675164775117692,none,None,0.5060450609665381,none,COMPLETE
3,4788.51318359375,small,0.6592275835079211,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,,0.014526359942068901,9,2,978,medium,3.653211140313511e-05,1.4432192743161005e-06,none,None,0.9226832162320749,medium,COMPLETE
4,5535.970703125,medium,0.9604338321762887,True,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,1.0,0.2286804970136554,4,6,868,none,0.07614092368145614,0.01794032285808227,long,distance_energy,0.720513579201548,medium,COMPLETE
5,4361.50146484375,none,0.6228887000252048,True,True,False,False,True,True,False,False,False,True,True,True,False,True,False,False,False,1.0,0.25578399324878337,10,7,982,none,4.3551263011867965e-05,0.5031442920887592,long,max,0.6819822334808616,medium,COMPLETE
6,4667.94091796875,none,0.7450784772448882,False,True,False,True,False,False,False,False,True,True,False,True,True,False,True,False,False,12.0,0.01243327900072702,5,4,461,medium,0.022168394738822525,0.01841644854126759,none,distance_energy,0.5807264787630411,small,COMPLETE
7,4402.61669921875,small,0.8278574170057167,False,False,False,True,False,True,True,False,False,True,True,True,False,True,True,False,True,6.0,0.025261001022961273,6,4,621,small,0.00019389019116998525,2.8468782844654063e-06,long,distance_population,0.9745437624097657,none,COMPLETE
8,4033.142333984375,none,0.9286591213669753,True,True,True,False,False,True,False,True,False,True,True,True,True,True,False,False,True,12.0,0.01892980662754043,6,5,434,none,0.07241966504692209,0.002925870874570295,short,None,0.8663690124535237,small,COMPLETE
9,4861.3115234375,medium,0.8160722475911752,False,False,True,False,True,False,False,False,False,True,False,True,True,False,True,False,True,1.0,0.17810761340516654,5,7,592,small,0.09577287457083125,0.5120753683138916,long,population,0.7723965971142348,small,COMPLETE
10,5273.18310546875,none,0.9984301779745395,True,False,True,True,False,True,False,True,True,False,True,False,True,True,False,False,True,12.0,0.04655015774251613,8,10,304,none,1.8676078866136514e-08,4.0904604975245486e-08,short,idw,0.8595493085652653,small,COMPLETE
11,4054.218017578125,none,0.5112759277068665,True,True,False,False,True,True,False,True,False,True,True,False,True,True,False,False,False,6.0,0.08032894884927505,7,8,751,none,0.002559894527401219,0.7063743543973752,short,mean,0.8329010239896677,medium,COMPLETE
