number,value,params_alpha,params_cloud_lags_option,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_l1_ratio,params_lags_target,params_precip_lags_option,params_rolling_temp_option,params_spatial_agg_method,params_temp_lags_option,state
0,30381.68787154893,0.7574337300761185,small,False,True,False,True,False,True,True,True,True,False,False,True,True,False,False,False,True,0.3586908721753867,12.0,small,none,population,medium,COMPLETE
1,85157.02590414269,0.4874591754526488,small,False,False,False,True,True,True,False,False,False,False,False,True,False,True,False,False,True,0.9867921089247186,1.0,small,long,distance_energy,medium,COMPLETE
2,43224.017161103286,0.657480596694272,medium,True,False,True,True,True,False,False,False,True,True,True,True,True,False,False,False,True,0.5435065394822011,6.0,small,long,idw,none,COMPLETE
3,1378.8217573224827,0.9753534716456438,small,True,True,False,False,False,False,False,True,False,False,True,True,True,True,True,True,False,0.9475551017174162,12.0,none,long,mean,none,COMPLETE
4,12203.764652847442,0.31831388289058954,small,True,False,True,True,True,True,False,True,False,False,True,False,True,False,True,False,False,0.5285738774053388,1.0,none,long,idw,none,COMPLETE
5,1462.564398992596,0.21587290955966046,none,False,True,True,True,True,True,False,False,True,False,False,True,False,False,True,True,False,0.5863021123549081,6.0,none,long,population,medium,COMPLETE
6,1432.9717222747652,0.7321554071890991,small,False,False,True,True,False,True,True,False,False,False,False,True,False,True,False,True,True,0.536326872388701,,none,none,distance_energy,small,COMPLETE
7,21017.502074058797,0.7440209609166171,small,True,False,False,True,False,True,False,True,False,True,True,True,True,False,False,False,False,0.9380228048553464,6.0,medium,long,energy,medium,COMPLETE
8,9437.205219436286,0.6789628034747973,none,True,True,True,False,True,True,True,False,True,False,False,True,False,False,True,False,False,0.49759430925824283,6.0,small,long,max,medium,COMPLETE
9,1673.410405656002,0.20451847734616124,none,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,0.9461768466754891,1.0,medium,short,mean,small,COMPLETE
10,1468.6745174995103,0.9826012207622308,medium,True,True,False,False,False,False,True,True,False,True,True,False,True,True,True,True,False,0.15727356577330542,12.0,none,short,None,none,COMPLETE
11,1389.86784420401,0.9852056365469403,small,False,True,True,False,False,False,True,True,False,False,True,True,False,True,False,True,True,0.7538743216250311,,none,none,distance_population,small,COMPLETE
12,1419.7659363400617,0.9989671483331892,small,False,True,False,False,False,False,True,True,False,False,True,True,False,True,False,True,True,0.775103561183335,,none,none,distance_population,small,COMPLETE
13,1366.6284905437444,0.866332358463799,small,False,True,True,False,False,False,True,True,False,False,True,True,False,True,True,True,True,0.7744568740538617,12.0,none,none,distance_population,small,COMPLETE
14,1376.1517969596098,0.8597852771920044,small,False,True,True,False,False,False,False,True,False,True,True,False,False,True,True,True,False,0.7958053411835007,12.0,none,none,mean,none,COMPLETE
15,1305.9789569266366,0.8473396788544558,medium,False,True,True,False,False,False,True,True,False,True,True,False,False,True,True,True,True,0.7635805306328589,12.0,none,none,mean,small,COMPLETE
16,1308.5242982935054,0.5351822760963015,medium,False,True,True,False,False,False,True,True,False,True,True,False,False,True,True,True,True,0.6699660870580211,12.0,medium,none,distance_population,small,COMPLETE
17,1419.5309950294195,0.02972263683869003,medium,False,True,True,False,False,False,True,True,False,True,True,False,False,True,True,True,True,0.6746014952674598,12.0,medium,none,None,small,COMPLETE
18,1360.6800001038853,0.4948551581809048,medium,False,True,True,False,False,False,True,True,True,True,True,False,False,True,True,True,True,0.3732046288526279,12.0,medium,none,energy,small,COMPLETE
19,1395.4948769977407,0.41171164749526273,medium,False,True,True,False,False,False,True,True,False,True,True,False,False,True,True,True,True,0.6618458499763239,12.0,medium,short,max,small,COMPLETE
20,1302.9025984134423,0.626497937959813,medium,False,True,True,False,False,False,True,True,False,True,True,False,False,True,True,True,True,0.06538584038836587,12.0,medium,none,mean,small,COMPLETE
21,1302.9025984134423,0.5964971504169148,medium,False,True,True,False,False,False,True,True,False,True,True,False,False,True,True,True,True,0.0373407447299606,12.0,medium,none,mean,small,COMPLETE
22,1302.9025984134423,0.5855399059958031,medium,False,True,True,False,False,False,True,True,False,True,True,False,False,True,True,True,True,0.09822961467636679,12.0,medium,none,mean,small,COMPLETE
