number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_base_models_pred_intervals,params_use_solar_geometry,params_vapor_pressure,state
10,17.086548206103192,large,0.9925699034611195,False,False,True,False,False,True,False,False,False,True,False,0.05409106642500441,5,18,0.0022903035433009256,989,12,none,4.2394089533697356e-08,0.0065597336211408236,small,idw,0.997110059476218,False,False,False,COMPLETE
11,16.470036078427004,large,0.7665505667620116,False,True,True,True,False,True,False,False,True,True,False,0.0807777866245069,8,70,0.2963269821309883,580,35,small,2.7990244508985486e-08,0.002344469233244954,small,None,0.6356437867637837,False,False,True,COMPLETE
12,16.49706422786407,large,0.8430430293655938,False,False,True,True,False,True,False,False,True,True,False,0.06502236788902425,7,71,0.33605157190518603,491,27,small,1.3241903873046824e-08,1.2431658706703185e-05,small,None,0.63827819130327,False,False,False,COMPLETE
13,16.352649794793937,large,0.8218023228576729,False,True,True,True,False,True,False,False,True,True,False,0.05971246101861651,6,72,0.32585730186941925,706,10,small,1.0296580316474364e-08,8.265517395752904e-06,small,None,0.6064363891032616,False,False,True,COMPLETE
14,16.441395852300047,large,0.7888640107108651,False,True,True,True,False,True,False,False,True,True,False,0.049662515363355426,6,74,0.32666818647308615,731,12,small,5.120451650036356e-07,1.348550037671504e-05,large,None,0.6163764195266492,False,False,True,COMPLETE
15,16.50344228735028,medium,0.8348992168020447,False,True,True,True,False,True,False,False,True,True,False,0.039162153916680924,5,80,0.3720127820093542,728,13,small,2.716732623100185e-07,6.096468812607841e-06,large,None,0.6041895191650133,False,False,True,COMPLETE
16,16.344789462847796,large,0.8660544706589972,False,True,True,True,False,True,False,False,True,True,False,0.043183441683452964,6,100,0.28701961580563523,806,49,small,6.376845173707296e-07,1.683783816031656e-05,large,capacity,0.5849368683272692,False,False,True,COMPLETE
17,16.434761365044086,large,0.8942043757521883,False,True,True,True,False,True,False,False,True,True,False,0.028719932700635442,3,98,0.273736141052014,933,61,small,1.4397211329156858e-06,1.669149017596492e-07,large,capacity,0.5857715613183221,False,False,True,COMPLETE
18,16.348589826828785,large,0.708831011443775,False,True,True,False,False,True,False,False,True,True,False,0.01994379826362034,5,98,0.2206250545261743,849,54,small,0.8447278023997719,5.5212087582093405e-05,large,capacity,0.6870174182644635,False,False,True,COMPLETE
19,16.426095863202743,medium,0.8908802427914133,False,True,True,False,False,True,False,False,True,True,False,0.01998390962314625,4,100,0.18612762495341603,851,105,small,0.7197561335506181,6.206516139187358e-05,large,capacity,0.6941341463589938,False,False,True,COMPLETE
20,17.126855799979968,large,0.6933128671752912,False,True,True,False,False,True,False,False,True,True,False,0.01622721829171193,11,5,0.19151525113626827,883,56,small,0.00293628451297755,7.40253402080758e-07,large,capacity,0.8189319471729954,False,False,True,COMPLETE
21,16.363339412509024,large,0.8142215596178707,False,True,True,False,False,True,False,False,True,True,False,0.030908412528136496,7,86,0.26556663453043117,785,31,small,1.7483007240507986e-05,7.209089031532394e-05,large,capacity,0.6690221026374075,False,False,True,COMPLETE
