number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
0,932.6498985554884,small,0.6932263798273006,True,False,True,False,False,True,False,True,True,True,False,True,True,False,True,True,False,0.0782033616313024,14,86,0.179734228043967,992,61,small,4.359853788053275e-06,0.28651659690543796,none,None,0.6448850853598287,none,True,COMPLETE
1,783.7571149013165,small,0.6582533051815797,True,True,True,False,False,False,True,False,False,False,False,True,False,True,True,True,False,0.031820311405307486,8,53,0.09714076436399433,758,33,medium,0.14208542983112188,1.2429141609872307e-05,long,idw,0.9529329317074473,small,False,COMPLETE
2,854.5446543711032,medium,0.7306456276964941,False,False,False,False,False,False,True,False,False,True,False,True,True,False,True,False,False,0.10286138392110378,4,79,0.0883575413743164,903,64,small,0.0017724630843381952,0.06292999035206395,short,distance_energy,0.749340531420416,medium,True,COMPLETE
3,834.5165672218767,medium,0.9939784524984248,False,False,False,False,True,False,True,False,False,True,False,True,True,True,False,False,True,0.0444060880094265,8,12,0.2907358832825168,907,10,none,1.1601504203701914e-07,1.588258704915907e-06,short,None,0.8990979337118024,medium,True,COMPLETE
4,930.5038615717691,medium,0.9685679002089109,True,True,False,True,False,False,True,True,False,False,False,True,True,False,True,False,False,0.159145681173969,16,44,0.26749311385408336,735,54,small,1.272526678414859e-07,0.0015080204638792097,none,distance_population,0.6893863026845771,small,True,COMPLETE
5,815.727302258756,none,0.5823553104640683,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,0.01632731326549975,15,67,0.48206995228095206,385,145,small,0.08535088118343076,7.87549192369188e-07,long,idw,0.946202918964451,small,True,COMPLETE
6,883.5807179840286,small,0.9045013927271408,False,True,True,False,False,False,True,False,False,True,True,False,True,True,True,True,True,0.29456899417842386,14,12,0.0026280918312655,870,14,none,0.025073026886552097,0.7699251373863285,short,None,0.6470268529049599,none,False,COMPLETE
7,853.3540504774506,small,0.5615398023802276,True,True,False,True,True,True,True,True,False,False,False,True,False,False,True,True,True,0.03113400433765192,10,70,0.16966949803288361,891,34,none,7.455846185486539e-05,0.0017634545210173797,none,population,0.6844150949421979,small,False,COMPLETE
8,815.5471168173214,small,0.7392557174437144,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0.06072846773140531,15,86,0.3057459433710467,967,30,medium,9.18641596870668e-06,2.51055596278818e-08,long,mean,0.8136728683239176,medium,False,COMPLETE
9,849.4034536240778,none,0.9225593856837196,False,True,True,True,True,False,True,False,True,True,False,True,False,False,True,True,True,0.06507179459696194,8,29,0.4005352856591977,819,35,medium,2.872036875180167e-08,0.0007474653813266425,none,distance_population,0.9235995553377774,medium,False,COMPLETE
10,798.1448216851435,small,0.8274126015647901,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,True,False,0.014765238624100849,3,50,0.03283426989869084,526,99,medium,0.21085470726908206,1.843210108057817e-05,long,idw,0.5352397116190692,small,False,COMPLETE
11,797.361544608692,small,0.8340550724063981,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,True,False,0.0102698603422958,3,50,0.003096296652381758,505,106,medium,0.12127878211105161,2.8874974153148913e-05,long,idw,0.5019509535089925,small,False,COMPLETE
12,761.0477197564447,small,0.6684853043378299,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,True,False,0.01113089845602819,5,36,0.1009157286816594,596,105,medium,0.001848192810820882,2.4188494376261113e-05,long,idw,0.524426559099368,small,False,COMPLETE
13,787.1259285564912,small,0.6407901383045463,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,True,False,0.027676422760613238,6,34,0.12441397851903058,642,122,medium,0.0028287869349108647,2.021984365263399e-06,long,energy,0.8249854247299162,small,False,COMPLETE
14,803.3072940512924,small,0.5088594105502912,True,True,True,False,False,False,True,False,True,False,True,True,False,True,True,True,False,0.024124553530070682,11,28,0.18860386990418787,661,87,medium,0.9647809964279901,8.287271038421322e-08,long,max,0.9909890458458842,small,False,COMPLETE
15,747.8776010206267,none,0.6446767916218524,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,True,False,0.012511821042883313,6,61,0.08747913735577864,584,127,medium,0.0019228251448985135,0.00018448694539441668,long,idw,0.5809162542335511,small,False,COMPLETE
16,767.2271716384201,none,0.6056491784023624,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,True,False,0.010636259565380448,5,64,0.2179480612560439,517,133,medium,0.0007887391359853107,0.01435264888532974,long,idw,0.5917205277072101,none,False,COMPLETE
17,796.826392403029,none,0.7857807604170743,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,True,False,0.017186583545640864,6,40,0.06828373203794086,620,114,medium,0.00015407625249892347,0.00019440706598195748,long,max,0.5696176930604382,small,False,COMPLETE
18,762.1436288468417,none,0.5195622792944157,True,False,True,True,True,True,False,True,True,False,True,False,False,True,False,True,False,0.020869508822134664,6,21,0.12896568195426902,355,147,medium,0.010992067337778818,0.00014065330178434217,long,mean,0.5843105448320783,small,False,COMPLETE
19,822.2900222822446,none,0.6911421217082914,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,True,False,0.013139040229787353,11,57,0.35424758945892876,429,89,none,0.00014390598515054957,0.006874334163065176,short,energy,0.5027313714910796,none,False,COMPLETE
20,795.570008812716,none,0.6194346020700324,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,True,False,0.041518817732647456,7,100,0.052595385225495166,590,123,medium,4.545644550701631e-06,5.556343318530085e-06,long,population,0.6213696529791124,small,False,COMPLETE
