number,value,params_alpha,params_cloud_lags_option,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_l1_ratio,params_lags_target,params_precip_lags_option,params_rolling_temp_option,params_spatial_agg_method,params_temp_lags_option,state
0,1831.479214338099,0.8689273336768574,medium,False,True,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False,0.7190461139766786,6.0,small,long,energy,medium,COMPLETE
1,1867.2903245617624,0.36257795304974855,medium,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,0.724738357637275,,none,short,distance_energy,none,COMPLETE
2,1850.454471623332,0.6463647303451484,none,False,False,True,False,False,False,False,False,True,True,False,True,True,True,False,True,True,0.6824153238361744,,small,none,max,medium,COMPLETE
3,1787.9818504426694,0.6574102452398702,small,True,False,False,True,True,False,True,False,False,True,False,False,True,True,False,False,True,0.9795294136378715,,small,long,mean,none,COMPLETE
4,1763.4714270597608,0.4425311204322138,small,True,False,True,True,True,False,False,True,True,False,True,True,True,True,False,True,False,0.9180562849275551,12.0,medium,short,mean,medium,COMPLETE
5,2132.732503842904,0.5905909588194442,small,True,True,True,False,True,True,False,False,True,True,False,False,True,True,True,True,False,0.2511861727758924,1.0,small,short,max,medium,COMPLETE
6,1848.509033144208,0.8400612649618098,small,False,False,False,False,False,True,True,False,True,False,False,True,True,True,True,False,True,0.9675480085755482,,medium,none,max,medium,COMPLETE
7,1856.510662794585,0.6379586733383783,small,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,True,True,0.9173238657309413,,small,long,idw,small,COMPLETE
8,2116.4123980588197,0.49060446696291554,none,True,True,True,True,True,True,False,True,False,True,False,True,True,True,False,False,True,0.049998796297898676,1.0,small,long,population,none,COMPLETE
9,1781.4074235489206,0.8260580512573777,none,False,False,False,True,False,False,False,True,True,True,True,True,True,False,False,True,False,0.1121055072960336,,none,long,population,small,COMPLETE
10,1743.7374340069325,0.05430110185699644,small,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,True,False,0.45705722856666664,12.0,medium,short,distance_population,medium,COMPLETE
11,1743.7374340069325,0.07616685476391011,small,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,True,False,0.3943477248611963,12.0,medium,short,distance_population,medium,COMPLETE
12,1743.7374340069325,0.014752363615823702,small,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,True,False,0.4004031449648293,12.0,medium,short,distance_population,medium,COMPLETE
13,1743.7374340069325,0.04226996449125613,small,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,True,False,0.5155461632236089,12.0,medium,short,distance_population,medium,COMPLETE
14,1743.7374340069325,0.22213357960429803,small,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,True,False,0.39655384227895096,12.0,medium,short,distance_population,medium,COMPLETE
15,1748.6961711538895,0.17826568080929622,medium,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,True,False,0.5298511931785005,12.0,medium,short,None,medium,COMPLETE
16,1832.927112604845,0.1901802262600502,small,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,True,False,0.27894037156583007,6.0,medium,short,distance_population,small,COMPLETE
17,1744.5405324855458,0.3089760032217005,small,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,True,False,0.6128402084591371,12.0,medium,none,distance_population,medium,COMPLETE
18,1781.0040855545494,0.14844177845337897,medium,True,True,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,0.3891850738098476,12.0,none,short,distance_energy,none,COMPLETE
19,1754.088996878566,0.08539088230766273,none,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,True,False,0.23766802675917711,12.0,medium,short,idw,small,COMPLETE
