number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,state
0,6084.357172106284,none,0.8669900673155373,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,,0.013068268395677117,15,86,0.3404377724325024,792,91,small,0.08805791005714059,0.037982203263598156,short,mean,0.672396311309988,medium,COMPLETE
1,4172.3034502320525,small,0.7743316101108525,True,False,True,False,False,False,True,True,True,False,False,False,True,True,True,False,True,1.0,0.057029816573023424,9,11,0.36013537963059805,956,41,small,0.0008114315747128839,0.0018174492624120568,long,energy,0.6388819802313332,medium,COMPLETE
2,4590.0486841690645,small,0.9309001603398337,False,True,False,False,True,True,False,True,False,True,False,False,True,True,True,True,True,6.0,0.2486413056201367,10,16,0.30750555392917983,377,81,small,0.012064380864597758,1.4907307163878145e-06,long,distance_population,0.7830964566610286,small,COMPLETE
3,6613.636172411989,none,0.8117133395754266,False,True,False,False,True,True,True,False,False,True,False,False,False,False,True,True,True,1.0,0.09588009079308189,14,88,0.30256907557360957,708,39,medium,0.04382842909655196,8.109128205429492e-05,long,max,0.9621320129092381,none,COMPLETE
4,4641.982457653889,medium,0.7708790635369998,True,False,False,False,False,True,True,True,True,False,True,False,False,False,True,True,False,6.0,0.24436879156721772,11,82,0.2843275667728124,920,146,medium,0.4747795614937767,1.6947698833337825e-05,none,None,0.596432041203682,small,COMPLETE
5,5347.455844252531,medium,0.6577281277137237,False,False,False,True,True,False,False,False,False,False,True,False,True,False,True,True,True,6.0,0.27645613691039644,7,69,0.17184209940068063,808,104,none,1.8566697529356082e-08,0.044785623194820656,short,energy,0.6583927995301987,medium,COMPLETE
6,4968.084498722751,small,0.9256737826230292,True,False,False,True,True,True,True,False,False,False,True,True,True,False,True,True,False,6.0,0.038491982455332016,6,77,0.16445473734790672,549,89,medium,8.21935108627827e-07,5.643086268015248e-06,long,energy,0.5441823744399935,none,COMPLETE
7,4214.302925182165,small,0.996708742346992,False,False,True,True,False,True,True,True,True,True,False,True,True,False,False,False,True,6.0,0.011263423479686289,9,27,0.40717096508751105,838,148,small,4.003267804638807e-08,0.04272546715394962,none,None,0.5856650906205306,none,COMPLETE
8,6522.880380079019,none,0.9920927152356325,True,True,False,True,True,True,False,True,False,False,False,True,False,False,False,True,True,1.0,0.02233144110148592,3,40,0.015136771958936812,964,23,medium,0.03606023853860578,3.73238046288477e-05,none,max,0.756513746955696,medium,COMPLETE
9,3377.183521240126,small,0.7912023405969553,True,False,True,True,True,False,True,True,False,True,False,False,True,False,True,False,False,,0.12190868836298677,14,95,0.2991190787325814,919,30,small,0.022833256960877117,0.10336329244960966,long,idw,0.7438320866028318,none,COMPLETE
10,3257.4090730072676,small,0.5281040821719488,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,False,,0.10049673041241848,16,100,0.49485060023317917,564,54,none,4.2698039725021256e-05,3.9774213089384774e-08,long,idw,0.8900120799491434,none,COMPLETE
11,3200.089340246394,small,0.5142679465235357,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,False,,0.08769048772819578,16,100,0.49365469516525845,501,55,none,8.994975053742795e-06,1.035027693911179e-08,long,idw,0.8776301263644904,none,COMPLETE
12,3239.0146639705636,small,0.5003395202490251,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,False,,0.11311520142175284,16,63,0.4848636381006121,538,58,none,1.0704199466047198e-05,1.0276818023105212e-08,long,idw,0.9198397341327674,none,COMPLETE
13,4233.499849969576,small,0.5046918799258053,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,False,12.0,0.05602328240510461,12,55,0.4898679232403556,389,61,none,2.3933888091493194e-05,1.044707300725961e-08,long,distance_energy,0.8817348011592107,none,COMPLETE
14,3117.4402915402534,medium,0.6110051260638927,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,False,,0.1602464977158901,13,60,0.42644726039753833,504,63,none,2.0348017353864033e-06,2.996586814285457e-07,long,idw,0.9853543788364816,none,COMPLETE
15,3416.252775918791,medium,0.624119915180943,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,False,,0.1533338482998078,13,41,0.41196066600904935,459,110,none,1.0154500684246574e-06,3.92296972228636e-07,short,population,0.9982224415690146,none,COMPLETE
16,3183.4802056993526,medium,0.5963861738069581,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,False,,0.1740118637177257,13,42,0.41783285297133294,307,67,none,9.688036369651712e-07,2.4855029529613203e-07,long,idw,0.8398206057344149,small,COMPLETE
17,4380.937996069831,medium,0.6666298694523742,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,False,12.0,0.1812782151032837,12,43,0.19032660736968787,330,75,none,2.7099045766996525e-07,2.8603904839906753e-07,long,idw,0.8219555852906356,small,COMPLETE
18,3340.373278641305,medium,0.5881654623971876,True,True,True,True,False,False,False,False,True,True,True,True,False,True,False,False,False,,0.1775942292638714,13,29,0.41675967751212684,644,123,none,0.0006112437010855376,0.0003956321196144496,short,distance_population,0.8292490070389879,small,COMPLETE
19,3144.988139581647,medium,0.5687098083463276,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,False,,0.03734382211499706,7,52,0.22499479593578237,425,10,none,1.4897138322207235e-07,1.8119471887222406e-07,none,mean,0.9488879822225817,small,COMPLETE
20,3580.9730292584136,medium,0.7132957284720766,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,False,12.0,0.03209376416792889,6,57,0.22999053224813068,624,11,none,1.1687195152528867e-07,2.3817735303991877e-06,none,mean,0.9462942150993018,small,COMPLETE
21,3142.622350306636,medium,0.5869249124271405,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,False,,0.07137972731954494,8,49,0.047075645405794536,304,11,none,2.870631818106889e-06,1.8145511493138763e-07,none,mean,0.980639833528407,small,COMPLETE
22,3070.52567184356,medium,0.5827426822368619,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,False,,0.06731621543594606,7,69,0.07822650926951773,460,10,none,3.5969549695671822e-06,7.868532204383013e-08,none,mean,0.9997823751172976,small,COMPLETE
23,3102.628401703132,medium,0.6812402916484834,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,False,,0.07324008146280206,3,70,0.06876797488150435,463,25,none,3.4538245093123236e-06,8.18775379435548e-08,none,mean,0.997924914743945,small,COMPLETE
24,3091.454889246658,medium,0.707625847279123,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,False,,0.0733908420444066,3,72,0.08249871691244787,470,26,none,0.00016617418246716085,5.251629847188202e-08,none,mean,0.9901005485951309,small,COMPLETE
