Parameter,Value
compute_air_density,True
compute_wind_power_density,False
encode_wind_direction,False
compute_wind_shear,True
compute_wind_ramp,True
compute_air_density_moiust_air_correction,True
dew_point_temperature,True
vapor_pressure,True
gust_factor,True
turbulence_window,2
lags_choice,none
precip_lags_choice,small
drop_raw_main_features,False
drop_raw_wind_features,True
spatial_agg_method,None
n_estimators,628
learning_rate,0.07069266610088627
num_leaves,64
max_depth,5
min_child_samples,30
subsample,0.7860264985154235
colsample_bytree,0.8021647498489813
reg_alpha,1.1279364285354873e-07
reg_lambda,0.03462277663373803
min_split_gain,0.23196038355285586
use_base_models_pred_intervals,False
cv_folds_base,40
