number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_use_base_models_pred_intervals,params_vapor_pressure,state
47,774.9843168355752,0.879858607509736,True,False,True,False,False,False,True,False,True,False,none,0.022137874840132497,3,28,0.32547738506754376,963,83,large,1.7036552545160157e-07,0.012428904231370684,None,0.7397447103795105,0,True,False,COMPLETE
48,785.3479674017067,0.8382738423919296,True,False,True,False,False,False,True,False,False,False,none,0.09144352243549439,4,8,0.3686985232722059,673,132,large,6.201125453053263e-08,0.03665007024914712,distance_n_turbines,0.8755815635559823,2,True,False,COMPLETE
49,764.3761060297034,0.7670478112141984,True,False,True,False,False,False,True,False,False,False,large,0.014633470815347336,5,38,0.33627859829382406,939,95,large,0.00021785575724996971,0.31532547822258955,distance_capacity,0.921681513399034,2,True,False,COMPLETE
50,707.301278813918,0.9224681654121027,True,False,True,False,False,False,True,False,False,False,none,0.03287579064273984,6,16,0.17153016048369119,619,59,large,7.563639080025505e-07,0.07577984186105742,None,0.761474303624127,2,True,False,COMPLETE
51,697.9606658540059,0.7990703029945422,True,False,False,False,False,True,True,True,False,True,large,0.04769992982488981,7,32,0.2541038190028389,894,101,small,6.247785986213335e-06,0.023665324802753348,None,0.8267503708693122,2,True,False,COMPLETE
52,690.8564773936001,0.8072881654674948,True,False,True,False,False,True,True,True,False,True,large,0.046036746138480855,7,32,0.25234891047746033,918,72,small,2.6108945581092205e-06,0.0037704019343946446,None,0.8335360665850678,2,True,False,COMPLETE
53,712.5864026446088,0.7994969896722307,True,False,False,False,False,True,True,True,False,True,large,0.049667709225236036,8,33,0.21104253106375087,777,107,small,4.031086966704028e-06,0.001539590567167365,None,0.8192631270909544,2,True,False,COMPLETE
54,716.747110354489,0.812701663499044,True,False,False,False,False,True,True,True,False,True,large,0.08536372945279237,7,24,0.27102993468286796,555,70,small,8.831996608215483e-06,0.00487344839512473,capacity,0.8524782587776808,2,True,False,COMPLETE
55,715.4330861802231,0.7338920789035194,True,False,False,False,False,True,True,True,False,True,large,0.06302352966716508,5,47,0.29294440082088746,893,100,small,9.486103860515152e-07,0.02575105672046385,None,0.7301010481813647,2,True,False,COMPLETE
56,706.7378875746853,0.8668175155840017,True,False,True,False,False,True,True,True,False,True,none,0.04546255468990054,7,39,0.22898675759533835,723,92,small,1.997022149627636e-06,0.0001859966007886382,None,0.7860980568235273,0,True,False,COMPLETE
