number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
0,1099.6142075725018,0.6586561477249702,True,True,True,True,False,False,True,False,True,False,large,6.0,0.024761187798614345,4,90,0.486372899770939,661,103,none,7.024100915394558e-08,0.01663655888369216,idw,0.5529039070171152,0,True,COMPLETE
1,1154.9997361494568,0.7026754866133734,True,False,True,False,True,True,True,False,True,False,small,12.0,0.026184360577490313,13,50,0.3777792199348863,825,20,large,0.003187286225363631,3.9389997538737134e-08,distance_n_turbines,0.7804544035204359,6,False,COMPLETE
2,1457.099094449003,0.9886641469975339,False,False,True,True,True,False,True,True,True,True,large,1.0,0.018926454689774348,16,36,0.14724148059293085,871,108,large,0.09086215479017205,0.611715268821372,max,0.85994982887707,2,False,COMPLETE
3,1060.5925041587261,0.9312095426512683,False,False,True,False,False,True,True,False,True,True,none,12.0,0.034461149492002754,15,85,0.3397220598348053,929,113,small,0.0613675849751117,1.1797596919373889e-05,capacity,0.6949933695437253,6,True,COMPLETE
4,1109.9869832816037,0.869126619231112,False,False,True,True,False,False,True,True,False,True,none,6.0,0.013602543491986537,16,97,0.20055515876703361,752,141,none,2.166845878517209e-07,0.0015876737499422265,distance_n_turbines,0.6641074002190359,2,False,COMPLETE
5,1097.3428139965933,0.8119796532318275,True,True,False,True,True,True,True,True,False,False,large,6.0,0.1443118425099624,12,94,0.3969555934977476,408,42,small,0.045303644999536465,0.00019772569916261666,distance_n_turbines,0.692526411635657,0,True,COMPLETE
6,1063.572724752444,0.5444969100292386,False,False,False,False,False,True,True,False,True,True,large,6.0,0.07896291349653042,7,21,0.4801666531321202,842,128,small,0.0020655535667290143,5.400766139084132e-05,max,0.6096324494126257,2,False,COMPLETE
7,915.4728825528728,0.7380472546857231,False,False,True,True,False,False,False,True,True,True,small,,0.12497914298436509,12,97,0.2434945039934961,928,136,none,0.03872003136127522,0.003301547239737886,mean,0.8516746878069199,6,True,COMPLETE
8,878.1693561819187,0.5070910964437837,False,False,False,True,False,True,False,True,False,True,none,6.0,0.01542854989259781,6,24,0.011080916399959895,593,82,none,0.00217224721697554,3.900301801601818e-08,idw,0.7228786656760173,0,False,COMPLETE
9,975.2003360037185,0.6974185460877831,True,True,False,False,False,False,True,False,False,False,none,1.0,0.03359995293269857,12,54,0.2751077574105209,322,126,small,0.0024989960065649685,0.023135432217241722,mean,0.5187311381096719,2,True,COMPLETE
10,940.4325510105149,0.5247038964940692,False,True,False,True,True,True,False,True,False,True,none,,0.23946432138551163,3,5,0.01357463685182786,509,71,none,1.4603937801792296e-05,1.2556489819042759e-08,idw,0.9647924959840205,0,False,COMPLETE
11,889.6243605969939,0.6161779819061635,False,False,False,True,False,False,False,True,False,True,small,,0.1013434645357614,8,69,0.017280217711767798,571,74,none,5.02820676728e-05,8.329735215856258e-07,mean,0.8437613857486888,6,True,COMPLETE
12,1079.7483225137819,0.6088627584693883,False,False,False,True,False,False,False,True,False,True,small,,0.0769070863695273,8,66,0.007850630555687193,568,75,none,1.9762770330040013e-05,6.246205995763888e-07,distance_capacity,0.7973079216264491,6,False,COMPLETE
13,894.7190224045311,0.5893159670950436,False,False,False,True,False,True,False,True,False,True,small,,0.011575724836936422,6,72,0.09869066178525059,627,55,none,0.0002386756489368926,7.565056197753529e-07,None,0.9228036644023998,0,True,COMPLETE
14,859.4190409912475,0.5000145513769361,False,False,False,True,False,True,False,True,False,True,none,6.0,0.05315556187068017,9,30,0.08246130078809188,482,92,none,1.82408387195365e-06,3.276855370053586e-07,idw,0.747225738138528,6,True,COMPLETE
15,856.9023111163298,0.5046364552807789,False,False,False,True,False,True,False,True,False,True,none,6.0,0.05386896574813699,10,27,0.09351914856340865,450,93,none,1.517131213561573e-06,9.391552742174061e-08,idw,0.7375139597916262,0,False,COMPLETE
16,874.5170209905637,0.5713372104582949,False,False,False,True,False,True,False,True,False,True,none,6.0,0.05392772532705789,10,34,0.09801686022943212,461,93,large,1.620799833720565e-06,4.661928541799543e-06,idw,0.6273689983270916,0,False,COMPLETE
