Parameter,Value
compute_air_density,False
compute_wind_power_density,False
encode_wind_direction,False
compute_wind_shear,False
compute_wind_ramp,True
compute_air_density_moiust_air_correction,False
dew_point_temperature,True
vapor_pressure,True
gust_factor,True
turbulence_window,0
lags_choice,none
precip_lags_choice,large
drop_raw_main_features,False
drop_raw_wind_features,True
spatial_agg_method,capacity
lags_target,1
n_estimators,734
learning_rate,0.03620443750504598
num_leaves,10
max_depth,14
min_child_samples,50
subsample,0.5018358092540699
colsample_bytree,0.5653232169043675
reg_alpha,1.1909891526140713e-08
reg_lambda,1.3219734283624956e-08
min_split_gain,0.16797614207851383
