number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_base_models_pred_intervals,params_use_solar_geometry,params_vapor_pressure,state
0,447.86842688943926,large,0.6383258008327742,False,True,True,False,False,True,False,False,True,False,False,0.04413323804056912,13,100,0.06052168934156915,572,57,large,9.298574872268149e-07,1.8003631176085617e-05,none,n_panels,0.8323688584776092,False,True,False,COMPLETE
1,449.3477750554104,none,0.5345985968671874,True,False,True,True,True,False,True,False,True,False,True,0.014925581295138594,16,51,0.16283893659408016,466,21,large,0.02233834507633009,1.976788100783028e-05,none,capacity,0.5002379814069832,False,False,False,COMPLETE
2,455.3598237285132,medium,0.7821910160277761,False,True,False,False,False,False,True,False,False,True,False,0.013747702443404276,12,59,0.25885037382471393,750,32,none,7.080654206386055e-07,0.004255130399114315,large,distance_n_panels,0.7171186562600323,False,False,False,COMPLETE
3,453.7928574787713,none,0.8635315541560444,True,False,False,True,True,True,False,False,True,True,False,0.255881408453065,9,78,0.4991164720775149,785,22,none,2.448438012200525e-06,3.0481263857593544e-06,medium,idw,0.8530253002848526,False,True,True,COMPLETE
4,436.8670654518966,small,0.7111331712812297,False,False,False,False,False,True,False,True,False,True,True,0.027926327811957072,3,31,0.07234107536173146,731,139,none,1.7313326607069e-06,2.3956519938962347e-05,large,distance_capacity,0.6167297874325004,True,False,True,COMPLETE
5,450.6287618716044,medium,0.7354790373287587,True,False,True,False,True,False,True,True,True,False,False,0.16944990992278708,6,30,0.36451240900918724,889,112,large,8.05910956402723e-06,4.077349158256626e-08,small,n_panels,0.5333224374982053,False,False,False,COMPLETE
6,444.10627964252336,large,0.9222598136736554,False,False,False,False,True,False,False,False,False,False,False,0.10137024507753754,8,67,0.4370851396564997,855,122,large,0.00033886719753315815,5.225927309914844e-07,medium,distance_capacity,0.8505018379795146,True,False,False,COMPLETE
7,443.4206113009838,small,0.7984095057361252,True,True,False,True,True,False,False,False,False,True,True,0.026830574963710167,3,9,0.17891317169062565,971,74,none,3.7268236852956546e-07,0.0008311103306556247,small,distance_n_panels,0.9758254500472637,True,False,False,COMPLETE
8,442.9687882022948,large,0.7468091070146172,True,True,True,False,True,False,False,True,False,True,False,0.25282281845718657,16,59,0.3877685178665624,721,101,large,1.237303430874987e-07,0.0005465393368443596,small,n_panels,0.9676338307084802,True,True,False,COMPLETE
9,450.45098850344897,none,0.8142083457584922,True,True,True,False,False,True,False,False,True,False,False,0.018398242745429196,13,66,0.13336736449984743,480,72,none,2.283599960474803e-06,8.082011939149517e-06,large,mean,0.6484730497968209,False,False,False,COMPLETE
10,472.3991641349332,small,0.63483874468779,False,False,False,True,False,True,True,True,False,True,True,0.05365559420145314,3,22,0.007071811432299652,321,150,small,0.0004503913530577925,0.49987422312975716,large,None,0.6048371369904022,True,True,True,COMPLETE
11,433.1131474971549,large,0.691110462113861,False,True,True,False,False,True,False,True,False,True,True,0.10715799736321359,16,36,0.30692649507776415,643,113,small,1.1637377749847058e-08,0.0011752196116532583,small,max,0.9976480209943351,True,True,True,COMPLETE
12,437.24644970588474,small,0.6546039580354627,False,True,True,False,False,True,False,True,False,True,True,0.10640371090348215,5,38,0.26534729872609614,619,148,small,1.1374862740279787e-08,0.025855983626407803,large,max,0.7454927480838567,True,True,True,COMPLETE
13,444.400673551876,small,0.9998300844563026,False,False,False,False,False,True,False,True,False,True,True,0.02959732318308885,11,42,0.3152416537909791,674,130,small,1.3012720101336445e-08,0.00015743474279553805,small,distance_capacity,0.6459727800205011,True,True,True,COMPLETE
14,445.5095804880123,large,0.5472981880722665,False,True,False,False,False,True,False,True,False,True,True,0.07704870837995029,7,16,0.0828993072895387,546,105,small,4.7701713226401885e-05,0.1070153587806152,small,max,0.910950974949577,True,False,True,COMPLETE
15,441.89250138637607,small,0.6904442570729079,False,False,True,False,False,True,False,True,False,True,True,0.03386222430622717,10,27,0.208674759140012,843,132,none,0.19608374439198806,0.006474447733874816,large,distance_capacity,0.5733258528022065,True,True,True,COMPLETE
16,433.8798373723334,large,0.5957409877722257,False,False,False,False,False,True,False,True,False,True,True,0.07682022479451929,14,40,0.3325549428072082,680,95,small,7.47030882212838e-08,4.12318723438114e-07,medium,max,0.7049626385907461,True,True,True,COMPLETE
17,435.5397676650646,large,0.576104601078315,False,True,True,False,False,True,False,True,False,True,True,0.14128248105161167,14,48,0.3163134288015863,631,87,small,5.941491943034166e-08,2.453100144647905e-08,medium,max,0.6988548859336724,True,True,True,COMPLETE
18,429.51125455774735,large,0.586109206990381,False,False,False,True,False,True,True,True,False,True,True,0.0663023540227749,15,5,0.3187974557994782,368,92,small,0.0032125487298231754,4.1120677643923226e-07,medium,max,0.7955968062884589,True,True,True,COMPLETE
19,435.54052207209725,large,0.5046380563745372,False,True,True,True,False,True,True,True,False,True,True,0.07205756725971424,15,5,0.41297392107823533,347,61,small,0.007297341404350773,3.50821136442253e-07,medium,max,0.7922616918033543,True,True,True,COMPLETE
20,485.38448744907527,large,0.676591232087203,False,True,True,True,False,True,True,True,False,True,True,0.15533489790102706,16,15,0.4701866976957163,427,115,small,0.004887258262918027,0.00020251942867319283,none,None,0.9237788657064011,True,True,True,COMPLETE
21,432.1925070309114,large,0.6020393562197037,False,False,False,True,False,True,True,True,False,True,True,0.0751325794075636,14,39,0.3276086174641003,391,91,small,4.714131778044158e-05,1.0221283851980728e-06,medium,max,0.7876842408154142,True,True,True,COMPLETE
22,431.9716782492731,large,0.6047570477350752,False,False,False,True,False,True,True,True,False,True,True,0.052469295913746695,14,84,0.28297460117936013,386,88,small,0.7488734696358073,1.4198701914675367e-07,medium,max,0.7849956184982245,True,True,True,COMPLETE
