number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_base_models_pred_intervals,params_use_solar_geometry,params_vapor_pressure,state
0,306.06539875565977,none,0.5326564400289614,True,False,False,False,False,False,False,True,False,True,True,0.02770729330714792,3,100,0.09567319427806986,811,100,small,0.00011175559423589689,0.00024026622163180074,small,max,0.7669137766112992,False,True,True,COMPLETE
1,312.28692026041153,small,0.6135553422547804,True,True,True,False,False,False,True,True,False,False,True,0.12706728466329337,13,81,0.09084127398707215,529,148,none,0.19185764032438443,0.06178215771179952,medium,capacity,0.9249916230870219,True,True,False,COMPLETE
2,301.9184176518059,medium,0.6668662201346252,True,True,True,False,False,True,False,True,False,False,False,0.2516576519797416,13,99,0.18287111117013388,795,21,none,0.2893606021191743,3.647410012231573e-06,none,None,0.742011376629532,False,True,True,COMPLETE
3,308.87770542280094,none,0.5956202077247174,True,True,False,True,False,True,False,True,False,False,False,0.06389533448167614,5,62,0.08134607627763057,408,104,small,3.522879571424424e-08,3.497322830979853e-07,medium,idw,0.7626715907744341,True,True,False,COMPLETE
4,305.42900171139087,none,0.9045920093301878,True,False,True,True,True,False,True,False,False,False,True,0.038014430098569765,10,71,0.27820412723967725,646,103,small,0.00040239251396991996,0.009257604314095759,none,capacity,0.8317319952495841,False,True,True,COMPLETE
5,309.5878482042965,small,0.6833336079856502,False,False,False,False,False,False,True,True,False,True,False,0.1295866053623878,7,27,0.23027151520545802,696,135,large,0.015387023665495658,2.1339612524273767e-06,large,mean,0.8453683943028989,True,True,False,COMPLETE
6,303.70936647838226,small,0.8828653914367256,False,True,True,False,False,False,False,False,True,True,False,0.11324906800794957,15,51,0.4668416281174639,731,69,small,0.00017758563298867297,1.4822748539696258e-07,small,max,0.5780450829119742,True,False,True,COMPLETE
7,305.1278211880771,small,0.5381266400204544,False,False,True,False,True,False,False,False,False,True,True,0.23226538348547454,15,50,0.44230561830504317,605,133,large,0.01760316865562131,7.724840662170943e-06,small,idw,0.7038576307161921,True,True,True,COMPLETE
8,297.38737510901746,medium,0.8069844927165064,True,True,True,False,False,False,False,True,False,True,True,0.22036058168321263,10,69,0.4963553605639849,504,66,small,0.4582888291328103,5.360444432085029e-06,none,max,0.661694021806886,False,True,True,COMPLETE
9,317.83264577806676,large,0.9649554546467267,False,True,True,False,True,False,False,False,False,False,False,0.13090004702384675,7,97,0.03801165448402366,308,123,small,0.005180456034612091,1.1353499231466696e-08,none,distance_n_panels,0.5409615736293405,False,False,True,COMPLETE
