number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
35,675.9876159999498,none,0.9339168006789206,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,False,0.020446560961430212,5,100,0.39326130301646844,829,121,none,2.488299669182684e-07,0.0018455352539071934,short,population,0.6892542778952528,medium,False,COMPLETE
36,593.9844434495122,medium,0.5694598345274472,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,0.0133082608008581,8,77,0.4547287691351577,730,74,medium,6.278768407290387e-07,0.2650730501805501,short,mean,0.742569141585036,medium,False,COMPLETE
37,645.6461499181056,medium,0.5725506128709589,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,True,True,0.013248839020662862,10,89,0.33834727201833376,704,74,medium,4.111321954900629e-08,0.2348853896015137,none,mean,0.7459882342270086,small,False,COMPLETE
38,655.8537984693924,medium,0.6258941077100606,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False,True,True,0.013933671033840911,13,68,0.08499528774909781,749,58,medium,0.0003459757666209269,1.7893223394890295e-08,long,mean,0.6114739024547259,none,True,COMPLETE
39,643.0074736510045,medium,0.6000926086624401,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,0.017607396417065123,7,76,0.4286266755620398,676,81,medium,1.5931106011632854e-07,0.016428117747531307,short,mean,0.642217413586608,medium,False,COMPLETE
40,594.29575843974,medium,0.5623896808722983,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.010036232621321356,8,56,0.4616220277078099,592,48,medium,1.0233094581513862e-08,9.033509763863942e-07,short,distance_energy,0.6714302698010705,none,False,COMPLETE
41,590.9866474760803,medium,0.525425067989799,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.010817127111607738,8,52,0.46071084695553954,579,28,medium,2.3033221363855747e-08,8.500755179610287e-07,short,distance_energy,0.6811230245414489,none,False,COMPLETE
42,602.4012227104951,medium,0.5680841630405623,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.010056207472795729,9,50,0.4630310673809596,589,27,medium,1.7542932687170426e-08,1.8249806374350155e-07,short,distance_energy,0.6902221310634735,none,False,COMPLETE
43,586.9838149351771,medium,0.5231413551596193,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.011967512829125133,10,35,0.45394878766286295,516,24,medium,1.0444004427715345e-08,1.007564995108385e-06,short,distance_energy,0.6703723322649062,none,False,COMPLETE
44,590.5271807973082,medium,0.5271348645560555,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.010703999486524046,8,37,0.3988631995644198,530,22,medium,2.8405021496597783e-08,2.092717508053199e-06,short,distance_energy,0.6715775669256783,none,False,COMPLETE
45,615.4604825589792,medium,0.6022353164543768,False,False,False,True,True,False,False,True,True,False,True,False,False,True,True,True,True,0.012806188276625182,10,34,0.4201133016743221,522,23,medium,2.041235882296119e-08,1.5606104628864881e-06,none,distance_energy,0.6720049051782018,none,False,COMPLETE
46,601.3445824600918,medium,0.5640594495298642,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.011629506674118566,8,23,0.3491483366815103,517,42,medium,1.0106480645017651e-08,1.888408138265323e-06,short,distance_energy,0.5822244460655868,none,False,COMPLETE
47,620.1577349056221,medium,0.6367786151109753,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.016118231946288687,11,37,0.31523160678671336,407,18,medium,4.295803941802836e-08,2.792683095424271e-07,short,distance_energy,0.6202832604454614,none,False,COMPLETE
48,589.4120939172614,medium,0.5329745748259916,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.010108991532094255,8,22,0.471059715819055,564,31,medium,1.0740111924709665e-07,1.1135186065004191e-05,short,distance_energy,0.7001324115891827,none,False,COMPLETE
49,596.6515883876278,medium,0.5282619689101081,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.012429695976956645,11,14,0.38763134870803373,443,34,medium,1.125436222022267e-07,1.923109862181565e-05,long,distance_energy,0.7033729506024545,none,False,COMPLETE
50,661.0847639542766,medium,0.8045777576951866,False,False,False,True,True,False,False,True,True,False,True,False,False,True,True,True,True,0.01511351239403248,8,25,0.24526179734711936,539,34,medium,2.92509459176176e-08,4.982520770630014e-06,short,distance_energy,0.7652012104452809,none,True,COMPLETE
51,607.9673604731911,medium,0.5573982698546467,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.01141183220719696,9,7,0.4672428204628492,596,47,medium,1.0008983203331033e-08,1.0882148401969003e-06,short,distance_energy,0.6621867386640274,none,False,COMPLETE
