Parameter,Value
compute_heating_degree_hours,True
compute_cooling_degree_hours,True
compute_dew_point_spread,True
compute_temp_gradient,False
compute_wind_chill,False
compute_humidex,False
compute_wind_components,False
compute_wind_power_density,False
compute_pressure_trend,True
compute_wind_speed_gradient,False
compute_air_density,False
compute_rain_indicator,False
compute_cloud_cover_fraction,True
compute_effective_solar,False
temp_lags_option,none
precip_lags_option,small
cloud_lags_option,none
rolling_temp_option,long
drop_basic_meteo_features,True
drop_wind_meteo_features,True
drop_rad_meteo_features,False
spatial_agg_method,energy
n_estimators,727
learning_rate,0.017597087722804376
num_leaves,55
max_depth,3
min_child_samples,26
subsample,0.7394962567757286
colsample_bytree,0.8006966000469377
reg_alpha,4.474356116037594e-07
reg_lambda,1.05748216351224e-08
min_split_gain,0.2400668156926645
use_base_models_pred_intervals,False
cv_folds_base,40
