number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
55,2831.180889520658,none,0.665736591384782,False,True,True,True,False,True,False,True,False,False,False,False,False,False,True,False,True,0.01628930456947148,4,20,0.3102604167377779,672,30,small,2.341771852033245e-05,5.360409052653568e-07,long,population,0.6203396658002657,none,True,COMPLETE
56,2900.2748015313887,none,0.7885654148912093,False,True,True,True,False,True,False,True,False,False,False,True,False,True,False,False,True,0.019723940364729246,9,11,0.2489869024564537,621,50,small,2.3123094509050937e-06,2.3852640724094082e-08,long,distance_population,0.6794684931637162,small,True,COMPLETE
57,2757.230461348443,none,0.9744429086505507,False,True,True,False,False,True,False,True,False,False,False,False,True,True,False,False,True,0.01132173742860853,3,23,0.40609810524043366,539,62,small,0.0002048563041786241,5.061341486350497e-08,long,None,0.7206085346237732,medium,True,COMPLETE
58,2769.526781814578,medium,0.5066497717535005,False,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,0.03924513872188477,5,25,0.4581225700894957,713,90,small,1.5474374363495246e-05,8.574900896078452e-06,long,mean,0.8442990915618016,none,True,COMPLETE
59,2769.0559056583625,none,0.8351812432866977,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,0.1327692747615245,6,38,0.2918897001008462,768,14,small,1.361691838780427e-07,0.05037618833903085,none,distance_energy,0.6683717466726514,medium,True,COMPLETE
60,2706.8384639121155,none,0.9590788489261773,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,True,0.013446406340830401,3,45,0.32103693999858496,828,150,none,0.11883294745146568,2.007908154369305e-07,none,distance_population,0.7019723880912571,none,False,COMPLETE
61,2688.2926354032206,none,0.9091045333273468,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,0.018786644610993317,4,17,0.3793161455303481,627,32,small,5.394933416833326e-06,1.2203306417123026e-07,short,distance_population,0.7797428752950869,none,True,COMPLETE
62,2692.4036518553594,none,0.8726092489336303,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,0.023932541435742055,4,21,0.39496904858690624,671,22,small,5.855734955003952e-07,6.736519850648123e-08,short,distance_population,0.7557133511801979,none,True,COMPLETE
63,2726.0776955629112,none,0.9007091708458458,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,0.01677118588799376,5,8,0.41864404222558665,569,137,small,0.042584407554697806,2.0889052536943853e-08,short,distance_population,0.7338233362641451,none,True,COMPLETE
64,2716.3905617152636,none,0.9247441671148876,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,0.014845350636126426,13,68,0.48419127935068135,600,44,small,3.3922448259061703e-05,3.3952943233489997e-07,none,distance_population,0.802556588044095,medium,True,COMPLETE
65,2697.804232135771,small,0.8460897594319374,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,0.028811152686618418,3,13,0.44231830134688027,691,34,small,4.125038565201547e-06,6.696231544280385e-07,long,distance_population,0.7693737917908696,none,True,COMPLETE
66,2915.7037729699373,none,0.8873136302819159,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,0.022013763356011212,4,29,0.36677409029752184,636,27,medium,1.821109126101585e-06,1.0124756558027205e-08,none,distance_population,0.8158639884369102,medium,True,COMPLETE
67,2704.563688988202,none,0.9317170840475955,False,True,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,0.011282111654003942,3,25,0.38930564979737015,661,103,small,0.0001709985552441055,2.078942942496195e-06,short,energy,0.690157964271425,none,True,COMPLETE
68,2883.0250333725526,none,0.8586682490927217,True,True,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,0.017372297610173046,15,14,0.42722384761590126,737,14,small,1.1154226251156653e-05,6.457982784994051e-06,none,distance_population,0.7181892086255843,none,True,COMPLETE
69,2782.869038086223,none,0.8764782404365613,False,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,True,0.025664424846055224,5,18,0.3519758323025388,533,72,small,4.158378520262261e-07,1.7958889861305908e-07,short,max,0.6180390643907958,medium,True,COMPLETE
