Parameter,Value
compute_heating_degree_hours,False
compute_cooling_degree_hours,False
compute_dew_point_spread,True
compute_temp_gradient,False
compute_wind_chill,False
compute_humidex,False
compute_wind_components,True
compute_wind_power_density,False
compute_pressure_trend,False
compute_wind_speed_gradient,False
compute_air_density,True
compute_rain_indicator,False
compute_cloud_cover_fraction,False
compute_effective_solar,False
temp_lags_option,medium
precip_lags_option,none
cloud_lags_option,none
rolling_temp_option,long
drop_basic_meteo_features,False
drop_wind_meteo_features,False
drop_rad_meteo_features,True
spatial_agg_method,energy
n_estimators,501
learning_rate,0.017895961557113343
max_depth,7
min_child_weight,3
subsample,0.5115773756203814
colsample_bytree,0.5049680081184423
reg_alpha,1.2016045041270634e-08
reg_lambda,0.9841563643011931
use_base_models_pred_intervals,False
cv_folds_base,40
