number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
0,2799.220703125,medium,0.9845187243482378,False,True,True,False,True,False,False,True,True,True,False,True,True,False,True,True,True,0.023261187018362658,3,5,864,medium,0.4763519405391231,7.576983809048552e-08,none,distance_population,0.9446003031752879,medium,False,COMPLETE
1,2842.258544921875,small,0.6151916255744225,False,True,False,False,False,False,True,True,False,True,False,True,False,False,False,True,True,0.06276695339851,10,1,607,small,1.5761397898470873e-05,8.220056588076641e-06,short,max,0.9986986185465562,medium,True,COMPLETE
2,2798.477783203125,small,0.5831984140436366,True,False,False,False,False,True,True,False,False,True,False,True,True,True,True,False,True,0.01069889880232504,8,9,353,small,0.0006682497227801938,0.01151788587973047,short,mean,0.82455248381414,none,False,COMPLETE
3,2975.537109375,small,0.6054796953866974,False,True,True,False,False,True,True,True,True,False,True,False,False,True,False,False,True,0.08527007724673272,10,1,336,medium,0.06569265021061683,4.6032415646652536e-06,none,mean,0.7580118659902952,none,False,COMPLETE
4,2803.291015625,small,0.9942406826546137,False,True,True,True,False,True,True,True,True,False,False,False,False,False,True,True,True,0.03250655529197921,3,10,633,small,0.10168062414329634,0.011128126044732024,long,idw,0.6560991151046347,none,True,COMPLETE
5,3238.4541015625,medium,0.99590137380053,False,True,False,False,True,False,False,True,False,False,True,True,True,False,True,False,False,0.2621335552013022,6,10,304,small,0.043284054452230825,0.0007355006401014955,short,max,0.8384319146543769,small,False,COMPLETE
6,2783.496337890625,small,0.8401983528676464,False,False,True,True,True,False,True,True,False,True,True,False,True,True,False,True,False,0.0399593903237995,5,10,315,medium,9.775192083936767e-07,0.000313559749980203,short,distance_energy,0.628058948998665,none,False,COMPLETE
7,2890.239501953125,small,0.8790864316403999,True,False,False,False,False,True,False,True,True,True,False,True,True,True,True,False,False,0.08060532528211382,8,7,470,medium,0.7817687406568737,0.15589608279503878,short,max,0.9868124769624297,small,True,COMPLETE
8,2883.448486328125,small,0.7704971420575033,False,True,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,0.1556625859940853,10,9,771,none,0.18354986307419272,0.00660268202412149,short,distance_population,0.6722957226709853,medium,False,COMPLETE
9,2773.5546875,none,0.891494422296224,True,True,False,True,False,False,False,True,False,False,False,True,False,False,True,True,True,0.03338522613081109,9,10,366,medium,0.1550224115309807,0.008121402792123422,short,distance_energy,0.7997951404735941,medium,False,COMPLETE
10,2611.713623046875,none,0.7206928905303833,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.014138682905091396,8,5,500,none,1.0083846848448726e-08,0.9317752448956803,long,energy,0.5127043749274329,medium,True,COMPLETE
11,2610.721435546875,none,0.7028801970185924,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.013320799214089149,8,4,499,none,2.2169542991986224e-08,0.9048822210511969,long,energy,0.5446560069425949,medium,True,COMPLETE
12,2667.1572265625,none,0.7014995712280497,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.010117249239544287,7,4,510,none,1.5068414945467525e-08,0.9832888055709559,long,energy,0.5140272700837003,medium,True,COMPLETE
