Parameter,Value
compute_heating_degree_hours,True
compute_cooling_degree_hours,False
compute_dew_point_spread,False
compute_temp_gradient,True
compute_wind_chill,True
compute_humidex,True
compute_wind_components,False
compute_wind_power_density,False
compute_pressure_trend,False
compute_wind_speed_gradient,True
compute_air_density,True
compute_rain_indicator,False
compute_cloud_cover_fraction,False
compute_effective_solar,False
temp_lags_option,none
precip_lags_option,medium
cloud_lags_option,none
rolling_temp_option,none
drop_basic_meteo_features,True
drop_wind_meteo_features,False
drop_rad_meteo_features,True
spatial_agg_method,None
n_estimators,937
learning_rate,0.01003595241481425
max_depth,4
min_child_weight,3
subsample,0.500282539252646
colsample_bytree,0.8054473632744745
reg_alpha,0.00022563164253813458
reg_lambda,0.0013649582810715836
use_base_models_pred_intervals,False
cv_folds_base,40
