number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
27,20.56402587890625,none,0.8309469769833226,True,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,False,0.04423311511211342,9,9,812,small,0.0005108562552362026,0.011379296695809345,none,max,0.6241534475907897,none,False,COMPLETE
28,20.7977352142334,none,0.6286649180669762,True,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,False,0.026831816662428957,8,7,857,small,0.00886139360283163,0.23228912926997033,none,max,0.5695316429136531,medium,False,COMPLETE
29,20.853757858276367,none,0.8080534101403758,True,True,False,True,False,True,True,False,False,False,False,False,False,True,True,True,False,0.02105089117089278,10,9,813,none,0.0004803879195789332,0.00481315087171458,short,None,0.6409533009737243,small,False,COMPLETE
30,20.3629150390625,none,0.8960053121620041,True,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,False,0.014527995816098536,9,4,921,small,0.08388872696371681,0.27180185510627125,none,max,0.53845240321511,none,False,COMPLETE
31,19.975595474243164,none,0.703336334596807,True,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,False,0.018743984165454117,9,7,990,none,0.009761186770799735,0.15751265890554086,none,max,0.5816338205155918,none,False,COMPLETE
32,19.789812088012695,none,0.6816444882833558,True,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,False,0.018661907180689767,8,6,954,none,0.005995879308700339,0.01575042014986707,none,max,0.5531864846040911,none,False,COMPLETE
33,19.51818084716797,none,0.6795733061285183,True,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,False,0.013371936479527266,7,6,860,none,0.0029885662856244054,0.0003840794795443724,none,max,0.5454498534199111,none,False,COMPLETE
34,20.108951568603516,none,0.6704728793074267,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,0.01322650011659083,7,5,941,none,0.0035465606010475757,0.0002189975911553458,none,max,0.5446323633436627,none,False,COMPLETE
35,19.379987716674805,none,0.7513015888930327,True,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,0.013091826574983987,7,6,855,none,7.228492353275804e-05,0.0004559617759699133,none,distance_energy,0.5031995687852358,none,False,COMPLETE
36,21.04730987548828,small,0.7356273523230497,True,True,False,False,False,True,True,False,False,True,False,True,True,True,False,False,True,0.013132269371539025,7,6,790,none,0.00013686086698645638,2.043444781598265e-05,short,distance_energy,0.5099225224521164,none,False,COMPLETE
37,28.82569694519043,none,0.7561258510916319,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,True,True,0.2822690317161563,8,5,857,none,5.135838169913244e-05,0.00047049607241928253,none,distance_energy,0.5012210634124407,none,False,COMPLETE
38,20.292448043823242,none,0.6797890027625741,True,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True,True,0.012374191038716278,7,4,954,none,0.0053090450122267934,0.0027322775260862175,none,distance_energy,0.5477782412422467,small,False,COMPLETE
39,20.48649787902832,small,0.7830515988308606,True,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,0.01925235553923926,6,6,423,none,5.0523953281424214e-05,4.253513081945165e-05,short,energy,0.5487206513986742,none,False,COMPLETE
40,22.366989135742188,none,0.7275362618822218,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,True,0.015566860550897052,7,5,787,none,0.16518337869597527,7.165121141814531e-06,none,distance_energy,0.6704912836410444,none,False,COMPLETE
41,19.926036834716797,none,0.6872787328100254,True,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,0.021770598768255083,8,6,844,none,0.0011070969334659939,0.002712133788402216,none,max,0.6236796059341362,none,False,COMPLETE
42,20.346790313720703,none,0.6559418961720247,True,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,0.030493528221405816,8,6,914,medium,0.00030578204927362977,0.016928402327333773,none,max,0.594501641349737,none,False,COMPLETE
43,19.6591854095459,none,0.7210831513480827,True,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,False,0.011770226314953659,7,5,965,none,4.701499433066886e-05,0.0010290683090477505,none,None,0.5363243217546279,none,False,COMPLETE
44,19.542993545532227,none,0.7255990393377594,True,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,False,0.012389890848317648,7,4,974,none,4.0938049749046334e-05,0.0008743023300651341,none,None,0.5353514256530698,none,False,COMPLETE
45,21.52254295349121,small,0.7184290652756382,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,False,True,0.011258147322245372,7,4,988,none,3.55326812167983e-05,0.0009025396710459422,none,None,0.5256604348824285,medium,False,COMPLETE
46,20.26539421081543,none,0.808141723933269,True,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,False,0.011884826666674163,6,3,973,none,2.3716814890558925e-06,0.0003685760820030317,short,None,0.5314676383852577,none,True,COMPLETE
47,24.00129508972168,medium,0.7520101820927294,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,True,False,0.21009046924190666,7,5,834,none,3.303416602207395e-05,0.0001344862664222977,none,None,0.6125219119978074,small,False,COMPLETE
48,19.137609481811523,none,0.8054473632744745,True,False,False,False,False,True,True,False,False,True,True,False,False,True,True,True,False,0.01003595241481425,4,3,937,medium,0.00022563164253813458,0.0013649582810715836,none,None,0.500282539252646,none,False,COMPLETE
49,20.38810920715332,medium,0.8685998819192494,True,False,False,False,False,True,True,False,False,False,True,False,False,True,True,True,True,0.010030006681141151,3,3,938,medium,0.0002516301357793327,0.001621901928164613,none,None,0.5616014918528917,none,True,COMPLETE
