date,load_lu_actual,load_lu_fitted,load_lu_lower,load_lu_upper
2026-05-29 00:00:00+00:00,441.69,445.01593605229766,421.74634358200956,468.2447534731372
2026-05-29 01:00:00+00:00,436.19,435.9557420359423,412.7172220512088,459.2408598774948
2026-05-29 02:00:00+00:00,439.55,436.69785794598647,413.42910328750554,459.95728550991566
2026-05-29 03:00:00+00:00,457.9,453.08153091042226,429.77194885398467,476.4105791528203
2026-05-29 04:00:00+00:00,502.34,481.036621235635,457.78978632692804,504.32205833265755
2026-05-29 05:00:00+00:00,548.04,507.43861825803043,484.21734192352346,530.7045796503907
2026-05-29 06:00:00+00:00,580.84,529.8937692627729,506.62334270801813,553.2383497627
2026-05-29 07:00:00+00:00,603.73,545.3426803206613,522.1077112190922,568.6130290293919
2026-05-29 08:00:00+00:00,612.45,549.4741758736552,526.2089045482272,572.7756568753739
2026-05-29 09:00:00+00:00,617.14,545.2416250401191,522.0522923106535,568.4821942435245
2026-05-29 10:00:00+00:00,617.28,536.9817627824117,513.7130149739776,560.2333025569026
2026-05-29 11:00:00+00:00,616.9,528.3519125017045,505.0569416980305,551.5949237768693
2026-05-29 12:00:00+00:00,602.21,519.0953776331841,495.767747877722,542.3826588486486
2026-05-29 13:00:00+00:00,588.34,510.2831392722577,486.9647359490408,533.4986946329858
2026-05-29 14:00:00+00:00,578.95,503.2370104047746,480.0045396251113,526.5139272776645
2026-05-29 15:00:00+00:00,585.25,502.1723984128921,478.9447862170448,525.5087867539361
2026-05-29 16:00:00+00:00,587.82,506.1539572864369,482.9185999795271,529.4799033907512
2026-05-29 17:00:00+00:00,580.97,511.1740261237632,487.8954008969174,534.5340873838801
2026-05-29 18:00:00+00:00,566.66,514.2831849085077,491.0366276161343,537.5866696070141
2026-05-29 19:00:00+00:00,554.25,509.16590113731075,485.9265276095896,532.5109961052644
2026-05-29 20:00:00+00:00,530.12,493.84221771133866,470.5535808418188,517.1367077609078
2026-05-29 21:00:00+00:00,500.39,474.1775943623577,450.9471170614159,497.44012015405383
2026-05-29 22:00:00+00:00,480.04,454.3162422444264,431.06618294720647,477.56132059016863
2026-05-29 23:00:00+00:00,458.54,437.12693190124844,413.82646745682894,460.3749031317779
2026-05-30 00:00:00+00:00,439.01,415.95381724970554,392.65144558590987,439.20316470013165
2026-05-30 01:00:00+00:00,428.41,395.1608841574117,371.8099214923944,418.4570289825074
2026-05-30 02:00:00+00:00,423.78,386.6497603022248,363.34293196990427,409.88057411129523
2026-05-30 03:00:00+00:00,425.02,395.77351233595743,372.44113503565893,418.9677626972546
2026-05-30 04:00:00+00:00,430.19,416.1254975132541,392.8246641082849,439.3051950551765
2026-05-30 05:00:00+00:00,439.25,440.3763822620619,417.1191568590925,463.5782127000305
2026-05-30 06:00:00+00:00,461.03,466.25970387049796,442.9768838801364,489.53742036292215
2026-05-30 07:00:00+00:00,486.46,487.6521437020713,464.402008309915,510.88040554657965
2026-05-30 08:00:00+00:00,513.87,501.2309165513747,477.93494524166783,524.583331120293
2026-05-30 09:00:00+00:00,525.35,505.2047477883263,481.97006628246595,528.5208900982124
2026-05-30 10:00:00+00:00,520.39,502.6474690717728,479.4105919828999,525.979754660181
2026-05-30 11:00:00+00:00,510.3,494.99538669097274,471.76185263378204,518.3243514353345
2026-05-30 12:00:00+00:00,494.47,480.3242032271383,456.911531687054,503.56697277289805
2026-05-30 13:00:00+00:00,484.19,456.65470587572304,433.29059345940465,479.87981506274383
2026-05-30 14:00:00+00:00,483.72,433.0184920804898,409.67502023896145,456.20889094093036
2026-05-30 15:00:00+00:00,490.28,419.8263787333831,396.54133604217907,443.1560523084993
2026-05-30 16:00:00+00:00,505.91,420.0030116432108,396.7625171550106,443.2910398711939
2026-05-30 17:00:00+00:00,511.01,424.86759986616994,401.62096571807774,448.1511095906092
2026-05-30 18:00:00+00:00,503.78,429.2962868481777,406.03244210628304,452.57067296722187
2026-05-30 19:00:00+00:00,497.28,429.29862775241133,406.01669225799014,452.58551316626813
2026-05-30 20:00:00+00:00,486.4,420.5913242325711,397.4034339351317,443.9000099846456
2026-05-30 21:00:00+00:00,459.63,401.2243564095137,377.94766406558904,424.47224651839224
2026-05-30 22:00:00+00:00,440.75,383.772930380208,360.51586257044835,407.0359891885196
