target,method,model_label,horizon,mse,rmse,mae,mape,smape,bias,variance,std,r2,prediction_interval_coverage,prediction_interval_width
wind_offshore_50hz,trained,XGBoost,2026-02-15T00:00:00+00:00,30203.669921875,173.7920379638672,135.49514770507812,46973.82082074442,100.02165222167969,49.02116012573242,27800.595703125,166.735107421875,0.9266468286514282,0.7559523809523809,408.1943359375
wind_offshore_50hz,trained,XGBoost,2026-02-22T00:00:00+00:00,45024.14453125,212.18893432617188,161.67562866210938,2057490.3813594235,86.81351470947266,-107.53421783447266,33460.5390625,182.92222595214844,0.8509185314178467,0.7083333333333334,415.86737060546875
wind_offshore_50hz,trained,XGBoost,2026-03-01T00:00:00+00:00,34950.671875,186.95098876953125,131.17681884765625,1458167.0914562584,125.79436492919922,3.567690849304199,34937.9453125,186.9169464111328,0.8316609859466553,0.7678571428571429,418.8941650390625
wind_offshore_50hz,trained,XGBoost,2026-03-08T00:00:00+00:00,96701.4140625,310.968505859375,232.1798553466797,204.34561360859087,108.58236694335938,60.58206558227539,93031.2265625,305.01019287109375,0.5538454055786133,0.5714285714285714,414.0302734375
wind_offshore_50hz,trained,XGBoost,2026-03-15T00:00:00+00:00,76730.0390625,277.0018615722656,233.1868438720703,60.864999172933445,160.13572692871094,-108.00472259521484,65065.0234375,255.07846069335938,-82388252098560.0,0.4226190476190476,414.8825378417969
wind_offshore_50hz,trained,LightGBM,2026-02-15T00:00:00+00:00,21898.397406711003,147.98107110948683,100.70876957928124,323582.59974951035,81.9746463591641,-2.8960249379849863,21890.010446269574,147.9527304454689,0.9468171454069639,0.9464285714285714,649.4648584880144
wind_offshore_50hz,trained,LightGBM,2026-02-22T00:00:00+00:00,48138.509508338444,219.40489855137338,168.08680259821955,1637160.5367384593,85.19289440141698,-119.4008425010671,33881.94831837381,184.07049822927576,0.8406064376462978,0.8571428571428571,648.6532659736487
wind_offshore_50hz,trained,LightGBM,2026-03-01T00:00:00+00:00,33510.93548219109,183.05992320054952,133.54696806503503,3197210.2158247926,123.72556046989516,-1.292948701454883,33509.263765846496,183.0553571077517,0.8385954641104677,0.9047619047619048,648.3208990574612
wind_offshore_50hz,trained,LightGBM,2026-03-08T00:00:00+00:00,93200.26218090688,305.28717985023036,225.02449587156684,226.8027472318193,107.46239801699372,39.16481972291323,91666.37907697858,302.76456047063795,0.5699987699688723,0.8095238095238095,651.0397843918038
wind_offshore_50hz,trained,LightGBM,2026-03-15T00:00:00+00:00,67997.60565067502,260.76350521243387,221.10492349568415,57.71144773001331,146.96524839528192,-101.49839348573634,57695.68177048964,240.19925430877097,0.0,0.8690476190476191,649.1555047087268
wind_offshore_50hz,trained,ElasticNet,2026-02-15T00:00:00+00:00,62216.052946446776,249.43145941610248,221.2533531260465,2138448.153343833,123.92268353135742,-7.414955669547621,62161.07137886541,249.3212212766202,0.8489009384682422,0.9940476190476191,1088.2548329750155
wind_offshore_50hz,trained,ElasticNet,2026-02-22T00:00:00+00:00,85201.47734351819,291.89292102330637,238.91530020238937,2674998.311563867,106.48062845280184,-105.71218224230927,74026.41186908697,272.07795182463235,0.7178855945004028,0.9464285714285714,1085.7353675463037
wind_offshore_50hz,trained,ElasticNet,2026-03-01T00:00:00+00:00,53391.53311777942,231.06607954820936,196.93325644737126,10943206.28134004,157.7253741754648,61.1329469656619,49654.29591307299,222.83243909510344,0.7428410905483227,1.0,1078.775740062093
wind_offshore_50hz,trained,ElasticNet,2026-03-08T00:00:00+00:00,108476.5052561085,329.35771625408825,250.87193407486234,335.2013665964833,122.09014006991694,47.493988513333946,106220.82631120378,325.9153667920612,0.49951824599952155,0.8988095238095238,1080.1102656686444
wind_offshore_50hz,trained,ElasticNet,2026-03-15T00:00:00+00:00,67273.70725533098,259.3717549297359,212.94124642058557,55.58061493192115,122.93869920526004,3.8943322851667106,67258.5414313837,259.34251759282296,0.0,0.9583333333333334,1078.5525124865537
wind_offshore_50hz,trained,"ensemble[XGBoost](XGBoost,ElasticNet)",2026-02-15T00:00:00+00:00,26991.55859375,164.29107666015625,122.60906982421875,724360.7814361079,87.65227508544922,62.96506881713867,23026.958984375,151.74636840820312,0.9344478249549866,0.5952380952380952,226.32315063476562
wind_offshore_50hz,trained,"ensemble[XGBoost](XGBoost,ElasticNet)",2026-02-22T00:00:00+00:00,52164.6015625,228.3957061767578,178.912109375,4572432.596496461,94.08715057373047,-78.68887329101562,45972.66796875,214.41238403320312,0.8272754549980164,0.40476190476190477,225.68870544433594
