number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_use_base_models_pred_intervals,params_vapor_pressure,state
0,22.007456217420287,0.947471231889332,False,False,True,True,False,True,False,True,True,False,large,0.04651810553294058,10,94,0.2725106459512324,872,49,small,3.2009777593443323e-06,0.03490978479882346,max,0.6207610092312064,2,True,True,COMPLETE
1,22.233399029821324,0.80256358006679,True,False,True,False,False,False,False,True,True,False,large,0.03333443689248832,12,78,0.41078153672128315,777,83,none,4.118241767321796e-06,2.9007938285154514e-05,max,0.6041884725079961,2,True,True,COMPLETE
2,21.719411656085537,0.5240455212508981,False,True,False,False,False,False,True,False,True,False,large,0.0279804217729562,4,31,0.2647658625236804,895,131,small,0.0006900163794691509,9.179893308207408e-06,capacity,0.7415100200431844,0,False,False,COMPLETE
3,22.275004465684024,0.8156877516917673,False,True,True,True,True,True,False,True,True,True,large,0.019378820119752633,10,45,0.4219153755115514,375,143,small,1.502961051340069e-08,0.016441114825664235,max,0.8205521039643158,0,False,False,COMPLETE
4,21.856111111196487,0.5593809473108391,True,False,False,True,False,True,True,True,True,False,none,0.12196105320337969,10,63,0.39909995235465334,556,139,large,0.018893539001415688,3.241780977189083e-07,max,0.5087027735965938,0,False,False,COMPLETE
5,21.929021465973197,0.756057696883326,True,True,True,False,False,True,False,True,False,False,large,0.06091190441456988,6,37,0.29843350913706107,493,45,none,1.1920457098195794e-06,2.8189225449876233e-06,max,0.5139823607149909,6,False,True,COMPLETE
6,23.3026203506668,0.8976743512429124,False,False,True,False,True,False,False,False,True,False,small,0.0339692461876866,8,47,0.28237450719258783,335,31,none,2.8122713293438065e-08,1.0567537707512251e-07,capacity,0.946946408953376,6,False,True,COMPLETE
7,24.20974793190466,0.9350430553741691,False,True,True,True,False,False,False,False,True,False,large,0.10351066193523832,7,85,0.25653527097912265,492,83,large,0.0004029016052190774,1.6668253884941171e-06,max,0.9818757493780016,6,False,True,COMPLETE
8,22.246503619141908,0.5997159221618626,False,False,False,False,True,True,False,True,False,True,none,0.09490978579287698,14,60,0.39202648342919394,490,73,none,1.1689666994665985e-07,0.0006400373828602125,distance_n_turbines,0.7949934477600136,2,True,False,COMPLETE
9,22.496807261077606,0.8908818246378613,True,False,True,False,False,True,True,False,False,True,none,0.15007094090788145,13,78,0.16382541323225208,812,106,small,3.2532631414326317e-07,9.882780853760025e-08,idw,0.6426243058056167,0,False,False,COMPLETE
10,21.76201896400352,0.6470141381401697,False,True,False,False,True,False,True,False,False,True,small,0.010817390329944073,3,7,0.04793166215248984,998,114,small,0.6465802055917089,0.46399738361985177,capacity,0.7141246919505231,0,True,False,COMPLETE
11,21.766412786955613,0.6386289692591797,False,True,False,False,True,False,True,False,False,True,small,0.010397032824695467,3,6,0.008068951974304267,973,117,small,0.33694817303787855,0.3006766032171776,capacity,0.7348954999085341,0,True,False,COMPLETE
12,21.83986247377523,0.5056182318160444,False,True,False,False,True,False,True,False,False,True,small,0.2939802343460703,3,13,0.12193248990966651,979,116,small,0.0007180107933225699,0.0006665531694985705,mean,0.7351047273011126,0,True,False,COMPLETE
13,22.280490248558753,0.6678997654843761,False,True,False,False,True,False,True,False,False,True,small,0.011187457019194966,5,26,0.005774056289271301,725,127,small,0.4962759574549529,7.092087010617059e-05,None,0.8681495161993976,0,True,False,COMPLETE
