Parameter,Value
compute_air_density,True
compute_wind_power_density,False
encode_wind_direction,False
compute_wind_shear,False
compute_wind_ramp,True
compute_air_density_moiust_air_correction,True
dew_point_temperature,False
vapor_pressure,False
gust_factor,True
turbulence_window,6
lags_choice,small
precip_lags_choice,none
drop_raw_main_features,True
drop_raw_wind_features,False
spatial_agg_method,distance_capacity
n_estimators,530
learning_rate,0.010436627305955914
num_leaves,75
max_depth,9
min_child_samples,6
subsample,0.7328522074127152
colsample_bytree,0.6221742033056399
reg_alpha,0.29784175142122404
reg_lambda,0.06222545857320486
min_split_gain,0.1800038784557921
use_base_models_pred_intervals,False
cv_folds_base,40
