date,hard_coal_ampr_actual,lignite_ampr_actual,gas_ampr_actual,biomass_ampr_actual,pumped_storage_ampr_actual,hydro_ampr_actual,other_conv_ampr_actual,other_renew_ampr_actual,hard_coal_ampr_fitted,lignite_ampr_fitted,gas_ampr_fitted,biomass_ampr_fitted,pumped_storage_ampr_fitted,hydro_ampr_fitted,other_conv_ampr_fitted,other_renew_ampr_fitted,hard_coal_ampr_lower,lignite_ampr_lower,gas_ampr_lower,biomass_ampr_lower,pumped_storage_ampr_lower,hydro_ampr_lower,other_conv_ampr_lower,other_renew_ampr_lower,hard_coal_ampr_upper,lignite_ampr_upper,gas_ampr_upper,biomass_ampr_upper,pumped_storage_ampr_upper,hydro_ampr_upper,other_conv_ampr_upper,other_renew_ampr_upper,cutoff,hours_ahead
2026-01-31 00:00:00+00:00,1726.37,3566.36,4133.0,789.49,4.283595e-06,86.25,670.65,41.63,1046.225309063499,3315.9064124349693,3079.377353279782,750.2327537340792,122.91916087452694,108.84570754270989,611.1734922603692,50.285571513668906,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,2026-01-31 00:00:00+00:00,0
2026-01-31 01:00:00+00:00,1778.3,3603.2,3686.2,789.21,4.283595e-06,86.34,652.62,41.63,1036.1508919511539,3301.490911849145,3039.92427784266,750.624411787569,129.43724510773586,108.84570754270989,611.1734922603692,50.285571513668906,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,2026-01-31 00:00:00+00:00,1
2026-01-31 02:00:00+00:00,1729.55,3476.56,3725.95,789.21,4.283595e-06,86.28,666.68,41.63,1025.6218275851197,3281.9959384765775,3002.4365421464618,751.201830295836,135.95532934094481,108.84570754270989,611.1734922603692,50.285571513668906,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,2026-01-31 00:00:00+00:00,2
2026-01-31 03:00:00+00:00,1787.08,3271.36,3595.2,789.21,4.283595e-06,86.3,644.98,41.63,1026.7119244421262,3280.669465556223,3006.310592017926,752.4163491506474,142.47341357415374,108.84570754270989,611.1734922603692,50.285571513668906,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,2026-01-31 00:00:00+00:00,3
2026-01-31 04:00:00+00:00,2049.15,3253.91,3565.57,789.21,4.283595e-06,94.84,673.11,44.1,1031.613559372142,3285.0919445471454,3019.05144410651,753.3892657777513,148.9914978073627,108.84570754270989,611.1734922603692,50.285571513668906,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,2026-01-31 00:00:00+00:00,4
2026-01-31 05:00:00+00:00,1935.53,3221.24,3832.69,790.62,4.283595e-06,95.31,636.57,46.57,1060.0324425565905,3278.0789563396074,3117.506287648538,755.7157516263894,155.50958204057162,108.84570754270989,611.1734922603692,50.285571513668906,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,2026-01-31 00:00:00+00:00,5
2026-01-31 06:00:00+00:00,1994.5698,3222.82,4216.94,793.17,4.283595e-06,95.71,594.43,46.57,1096.458939610294,3324.4260290135494,3253.578271108682,758.9587550724169,162.02766627378054,108.84570754270989,611.1734922603692,50.285571513668906,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,2026-01-31 00:00:00+00:00,6
2026-01-31 07:00:00+00:00,1829.47,3207.94,5116.88,795.07,4.283595e-06,96.78,622.45,46.57,1123.0607870186302,3364.99091168491,3356.3231790379677,761.8011031488126,168.54575050698946,108.84570754270989,611.1734922603692,50.285571513668906,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,2026-01-31 00:00:00+00:00,7
2026-01-31 08:00:00+00:00,1894.71,3207.37,5636.14,794.22,4.283595e-06,96.87,632.97,46.57,1155.5238847891787,3411.410582556964,3460.0017293294995,763.2262504673774,175.06383474019842,108.84570754270989,611.1734922603692,50.285571513668906,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,2026-01-31 00:00:00+00:00,8
2026-01-31 09:00:00+00:00,1866.8499,3281.44,5908.32,794.77,4.283595e-06,97.18,700.02,46.57,1166.3263396192037,3433.0284792112,3473.547095139356,762.6347938649126,181.58191897340734,108.84570754270989,611.1734922603692,50.285571513668906,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,2026-01-31 00:00:00+00:00,9
