Parameter,Value
compute_heating_degree_hours,True
compute_cooling_degree_hours,False
compute_dew_point_spread,False
compute_temp_gradient,True
compute_wind_chill,True
compute_humidex,True
compute_wind_components,True
compute_wind_power_density,True
compute_pressure_trend,True
compute_wind_speed_gradient,False
compute_air_density,True
compute_rain_indicator,False
compute_cloud_cover_fraction,False
compute_effective_solar,False
temp_lags_option,small
precip_lags_option,medium
cloud_lags_option,none
rolling_temp_option,none
drop_basic_meteo_features,True
drop_wind_meteo_features,False
drop_rad_meteo_features,False
spatial_agg_method,distance_energy
lags_target,6
n_estimators,608
learning_rate,0.022175535567108513
num_leaves,129
max_depth,13
min_child_samples,24
subsample,0.7673309242139695
colsample_bytree,0.8642960515068487
reg_alpha,0.06903656829342449
reg_lambda,0.40160122562794603
min_split_gain,0.031181282990000322
