number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,state
0,27.965562254459794,medium,0.8189288441173912,True,False,True,True,True,True,True,False,True,False,True,True,True,False,False,False,False,6.0,0.14407649154572957,10,63,0.1352414587866359,314,12,none,0.006383105697689306,2.0648694388438313e-05,short,distance_population,0.5663778615700186,medium,COMPLETE
1,27.003009269039968,medium,0.7613560356425857,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,True,True,12.0,0.07340035844439219,8,47,0.2189005961000871,712,96,medium,0.000372968351565883,2.979270205958375e-08,short,distance_population,0.9362569730553824,small,COMPLETE
2,25.087843513651745,medium,0.7317209133840874,True,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,False,12.0,0.034484223382084005,6,51,0.0584017504885781,567,107,none,0.0007310675860243481,8.307691827237329e-05,short,mean,0.5590293545820946,medium,COMPLETE
3,28.819821788993625,small,0.966147729268064,False,True,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,1.0,0.1787526064228274,3,56,0.3226148697788575,300,135,none,0.0010507108910091422,0.0008427510710044019,short,mean,0.8318227677767609,none,COMPLETE
4,32.299141155928645,none,0.7885274246374085,True,True,True,False,True,True,False,False,False,False,True,True,True,True,True,True,True,12.0,0.03212691505067853,6,61,0.34843509802917,760,10,none,3.556496680133026e-08,4.5616836353628595e-06,none,distance_energy,0.9751522685776299,medium,COMPLETE
5,29.466093176225822,small,0.5393092865656139,True,False,True,True,True,True,False,True,True,False,True,False,False,False,True,True,True,12.0,0.09507016654259433,14,89,0.40634813040783796,878,52,medium,0.001152782739766223,0.6329440561022359,long,distance_energy,0.5712064801430827,medium,COMPLETE
6,26.016925392453512,small,0.9931762251322107,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,1.0,0.042944469405986126,12,37,0.24754274602910653,552,27,none,0.0003096324977393418,0.2513470811094559,short,idw,0.7964221606582602,none,COMPLETE
7,25.607084347591563,none,0.6690054417941114,True,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,1.0,0.01766783600538779,16,85,0.40548307309889886,577,91,small,1.2318154065607604e-07,0.023489313434115915,long,mean,0.6972531870205243,none,COMPLETE
8,25.020674935539077,none,0.7477970910352265,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,True,True,,0.036018710607445756,13,91,0.116980520561555,592,47,medium,0.015167651532891867,7.086683656294954e-08,none,population,0.7432003735864967,small,COMPLETE
9,27.42522469081648,none,0.741422521130245,True,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,True,12.0,0.09437329773237911,13,67,0.42964416218529633,362,98,none,0.16741578538686505,0.015550760087098468,none,distance_energy,0.7566495566324514,medium,COMPLETE
10,24.591471250138028,none,0.582766154358902,False,True,True,False,False,False,True,True,True,False,False,False,False,True,False,False,False,,0.011272220660237118,16,7,0.015730679639454237,987,57,medium,5.331668395691023e-06,1.071792973619997e-08,none,population,0.6706909713181358,small,COMPLETE
11,24.060343362096642,none,0.5404959212692071,False,True,True,False,False,False,True,True,True,False,False,False,False,True,False,False,False,,0.013431073440913738,16,7,0.012917171373585433,967,56,medium,6.580342323841156e-06,1.1507819832408984e-08,none,population,0.6560466442996497,small,COMPLETE
12,23.725060446914757,none,0.5136170834324373,False,True,True,False,False,False,True,True,True,False,False,False,False,True,False,False,False,,0.010090471948657307,16,9,0.05324386111160179,969,66,medium,1.8549588858850093e-06,4.5670447810423704e-07,none,population,0.6760445574655622,small,COMPLETE
13,23.47218601768289,none,0.5061736918358208,False,True,True,False,False,False,True,True,True,False,False,False,False,True,False,False,False,,0.010526690207629677,15,5,0.0023312261809595447,999,77,medium,4.887168096798233e-06,9.43081749161788e-07,none,None,0.6505704295745107,small,COMPLETE
14,24.127629853899066,none,0.622968425055205,False,True,True,False,False,False,True,True,True,False,False,False,False,True,False,False,False,,0.02033943950999216,11,25,0.13368653430655908,854,75,small,6.211366155064863e-06,6.510608796792001e-07,none,None,0.5042976612513779,small,COMPLETE
15,26.733789557452685,none,0.5266722523047052,False,True,True,False,False,False,True,True,True,False,False,False,False,True,False,False,False,,0.2840062186867342,14,22,0.07790384097222962,880,74,medium,4.58876394457365e-07,8.105551008417898e-07,none,energy,0.6399809187560648,small,COMPLETE
16,22.756521306418065,none,0.504084538502996,False,True,True,False,False,False,True,True,True,False,False,False,False,True,False,False,False,6.0,0.021012062415722853,15,20,0.1698024846245198,796,116,medium,8.002762264412475e-07,3.818037560254401e-07,none,max,0.8420054395317659,small,COMPLETE
17,22.293321780283105,none,0.6461831423011165,False,True,True,False,False,False,True,True,True,False,False,False,False,True,False,False,False,6.0,0.02217971608006139,9,22,0.18564823755434526,792,123,small,2.2687555325512073e-08,6.992048756005666e-06,long,max,0.8635045051350728,small,COMPLETE
18,21.86503629505641,small,0.6573466680714489,False,True,True,False,False,False,True,True,True,False,False,False,False,True,True,False,False,6.0,0.023980818298230143,8,25,0.19860462600794518,766,145,small,1.481174436035584e-08,0.000641708135030844,long,max,0.8679517908052924,small,COMPLETE
19,23.951623401671498,small,0.674570550664689,False,True,True,False,False,False,True,True,True,False,False,False,False,True,True,False,False,6.0,0.025797278311095354,8,35,0.494554290670142,670,145,small,1.3599102843898208e-08,0.0008252573293947262,long,max,0.9091733474774575,small,COMPLETE
20,22.74154902140373,small,0.8816610054234563,False,True,True,False,False,False,True,True,True,False,False,False,False,True,True,False,False,6.0,0.051286727279908406,8,36,0.2890325675439604,484,127,small,1.1545647347085124e-07,0.0002987918366339903,long,max,0.889009223396034,none,COMPLETE
21,23.531906083030155,small,0.8550744721499292,False,True,True,False,False,False,True,True,True,False,False,False,False,True,True,False,False,6.0,0.04810103358269962,8,37,0.2978018249146334,440,128,small,1.1145971323188783e-08,0.0009394507612876829,long,max,0.8836604926341759,none,COMPLETE
22,23.11174491615299,small,0.9114348534576111,False,True,True,False,False,False,True,True,True,False,False,False,False,True,True,False,False,6.0,0.05386637824143685,6,30,0.20198024464931374,486,147,small,6.631467656353041e-08,9.522559824728636e-05,long,max,0.8634959167592081,none,COMPLETE
23,22.825198007917106,small,0.6607691685271442,False,True,True,False,False,False,True,True,True,False,False,False,False,True,True,False,False,6.0,0.015567745923644296,9,17,0.2723412929249956,749,121,small,2.046350371634907e-07,1.7986836448560856e-05,long,max,0.9419708769512325,none,COMPLETE
24,26.233539295865835,small,0.6115382879181868,False,True,True,False,False,False,True,True,True,False,False,False,False,True,True,False,False,6.0,0.025870857315754354,5,43,0.18970130289029682,654,133,small,5.493039905592196e-05,0.003200514057690558,long,max,0.8014016786815891,none,COMPLETE
25,22.181556492251843,small,0.704390696806212,False,True,True,False,False,False,True,True,True,False,False,False,False,True,True,False,False,6.0,0.026764277059910354,10,16,0.2322488834739903,809,112,small,3.8221070374592523e-08,9.40046123170573e-06,long,max,0.9981855370990101,small,COMPLETE
26,21.5939466325766,small,0.7119791260173939,False,False,False,False,False,False,True,True,False,True,True,False,False,True,True,False,False,6.0,0.023813726084212693,10,15,0.24004160171424457,833,113,small,3.3290372302183096e-05,6.847496840626511e-06,long,idw,0.9911613725020696,small,COMPLETE
27,21.74296195095708,small,0.7077461498065352,False,False,False,False,False,False,True,True,False,True,True,False,False,True,True,False,False,6.0,0.029265151613155273,11,14,0.23985338369708797,833,108,small,2.1710123483915317e-05,4.161059969049138e-06,long,idw,0.99546155520994,small,COMPLETE
28,22.286280191102446,small,0.7010847466900945,False,False,False,False,False,False,True,True,False,True,True,False,False,True,True,False,False,6.0,0.01538751543655558,11,13,0.3523894072679296,916,104,small,4.76466620157892e-05,3.000966561540814e-05,long,idw,0.9549396118439185,small,COMPLETE
29,21.104877532228144,medium,0.8047438323448317,False,False,False,False,False,True,True,True,False,True,True,True,True,False,True,False,False,6.0,0.03819763477575452,10,27,0.15751281500438924,709,86,small,0.004601473605611879,2.500065426948021e-06,long,idw,0.989782241993528,small,COMPLETE
30,21.133859633177977,medium,0.819323102014114,False,False,False,False,False,True,True,True,False,True,True,True,True,False,True,False,False,6.0,0.062475459381603794,11,30,0.16441096462250546,721,88,small,0.008174077941733138,1.0671884817615648e-07,long,idw,0.9999530601526591,small,COMPLETE
31,21.3321039625799,medium,0.8079817516491467,False,False,False,False,False,True,True,True,False,True,True,True,True,False,True,False,False,6.0,0.06802953108895445,11,29,0.15776170412615179,710,81,small,0.01114911094428411,2.1076888568636094e-06,long,idw,0.9927345959175163,small,COMPLETE
32,20.672614509203306,medium,0.8136310001143616,False,False,False,False,False,True,True,True,False,True,True,True,True,False,True,False,False,6.0,0.07092642025026123,10,30,0.1455262496477755,709,87,small,0.01192194583812637,1.3820182019477149e-07,long,idw,0.9252830812514589,small,COMPLETE
33,21.515861382423015,medium,0.8085987851179612,False,False,False,False,False,True,True,True,False,True,True,True,True,False,True,False,False,6.0,0.06544678027359148,11,29,0.15534947778633976,705,87,small,0.014608672255574443,1.9232671768957464e-07,long,idw,0.913942450125809,small,COMPLETE
34,21.639680634731587,medium,0.8400335660372046,False,False,False,True,True,True,True,False,False,True,True,True,True,False,True,False,False,6.0,0.0866060860014583,12,47,0.11608673507351285,691,86,small,0.11641421830009276,6.392976549126383e-08,short,idw,0.9455528746955283,small,COMPLETE
35,24.42185011372204,medium,0.7784206684645769,False,False,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,1.0,0.12162423951846361,12,43,0.08817802751763483,619,67,small,0.7308473821208695,1.7243568319745012e-06,long,distance_population,0.9651399618826562,medium,COMPLETE
