number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
52,958.5247847816855,0.8384657954869331,True,True,False,False,True,False,False,True,False,False,large,,0.06099536934403712,10,23,0.07397484470829398,551,78,large,0.0007759198599291953,4.4703185890754144e-08,None,0.7847196245708944,6,True,COMPLETE
53,937.3310386714217,0.7595746337454147,True,True,False,False,True,False,False,True,False,False,large,,0.09286164924368083,11,15,0.025676932795331852,591,94,large,0.015500230884125383,6.43517369892e-07,None,0.7544385417507455,6,True,COMPLETE
54,919.8266791507249,0.7962906479220998,True,True,False,False,True,False,False,True,False,False,large,,0.05225730620863366,13,29,0.04797853478475239,649,72,large,0.31041328735391177,8.649970225317026e-08,None,0.729281832894615,6,True,COMPLETE
55,1113.9375158524733,0.7980866244161261,True,True,False,True,True,False,False,False,False,True,none,,0.033395715378026256,13,21,0.04613055224310361,744,73,large,0.3601603987547172,1.6036050074949909e-06,mean,0.7281924492360523,6,True,COMPLETE
56,1186.9096295105298,0.7774814495045728,True,False,False,False,True,False,False,True,False,False,large,,0.05159497864621647,13,32,0.07259920665386607,625,60,large,0.9572816768737298,1.7691281947645224e-08,distance_n_turbines,0.817293747755593,6,True,COMPLETE
57,979.4903516523491,0.8159033846109291,True,True,False,False,True,False,False,True,False,False,large,,0.025961211472958795,15,29,0.23938842362614648,657,149,large,0.05611841606436304,3.980458862674301e-08,None,0.6964802261068327,6,True,COMPLETE
58,1126.3319018563611,0.7640037519095068,False,True,False,False,True,False,True,True,False,True,large,,0.07513569999503927,12,42,0.13794481068119147,694,49,large,0.3066650132808615,1.0546749429906255e-08,capacity,0.8605835717598455,6,True,COMPLETE
59,1403.1678709002251,0.7852705596984894,True,True,True,True,True,False,False,False,False,False,large,6.0,0.04490870998330466,11,36,0.017105515673740468,500,70,none,0.024720432488787865,1.0510006744172276e-07,None,0.6623460776132541,6,True,COMPLETE
60,962.1343918828719,0.9125938720433036,True,True,False,False,False,True,False,True,False,False,small,,0.03819740805788624,13,21,0.17881407795365528,619,98,large,0.0015510348907787988,0.16335686935013044,None,0.760121442785338,6,True,COMPLETE
61,938.340781583987,0.8345257861331142,True,True,False,False,True,False,False,True,False,False,large,,0.055377931169734496,10,17,0.04570525458274674,582,82,large,0.004815051607649157,6.025497639194054e-08,None,0.706917340550138,6,True,COMPLETE
62,934.775919580345,0.876746206519006,True,True,False,False,True,False,False,True,False,False,large,,0.06267972844601244,9,28,0.0006734884140760511,547,86,large,6.335814536191372e-05,2.6614965141107545e-07,None,0.7902618922118653,6,True,COMPLETE
63,923.1358051880917,0.7934992445003385,True,True,False,False,True,False,False,True,False,False,large,,0.043219953593836395,12,24,0.023772722338042406,670,79,large,0.009239573639762511,4.943438300948733e-07,None,0.7654396192393675,6,True,COMPLETE
64,942.7615955078089,0.7920353955440822,True,True,False,False,True,False,False,True,False,False,large,,0.04312492449010875,12,23,0.0885271968873505,641,79,large,0.21077183736801539,5.954251696114118e-07,None,0.9442037604363949,6,True,COMPLETE
65,1262.1288193137257,0.737066866956656,True,True,False,False,True,False,False,True,False,False,large,1.0,0.03683577035799406,14,33,0.06503882669168418,775,56,large,0.44777165861266416,2.220126385170969e-08,None,0.7436794476075217,0,True,COMPLETE
66,1077.5205948513815,0.8178820420553027,True,True,False,False,True,False,False,True,False,True,large,,0.018771081659011334,11,52,0.022530506116066558,726,102,large,0.01936392254890996,0.004078648176620403,mean,0.8149219299866787,6,True,COMPLETE
67,1604.3659760761093,0.7610453819513602,True,False,False,False,True,False,False,True,False,False,none,12.0,0.048697749478997215,14,11,0.1099898857885881,682,50,large,0.00021069558994269282,1.6883586869044373e-07,idw,0.8488113156970425,6,True,COMPLETE
68,929.9361638360798,0.856258130935298,True,True,False,False,True,False,False,True,True,False,large,,0.04213966744181796,13,18,0.041787220081969834,709,17,large,0.06718882029047331,0.0006879345481545434,None,0.9128854207029395,2,True,COMPLETE
69,1233.807006199447,0.7077318697687996,True,True,False,True,True,False,True,True,True,True,large,,0.03053972917160027,15,18,0.08415598620247063,706,17,small,0.1639165438599495,0.0004535734024582782,max,0.9035105851633802,2,False,COMPLETE
